"9706る 2105 タ穝             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 97/06/02","3,128,186","163,614,488","52.00","53.40","51.80","53.40","+1.40","1,570",
" 97/06/03","2,153,939","112,940,499","53.40","53.40","51.90","52.50","-0.90","935",
" 97/06/04","3,660,059","190,454,440","52.50","52.90","51.50","51.80","-0.70","1,473",
" 97/06/05","8,548,932","433,492,335","52.00","52.00","49.90","51.70","-0.10","3,172",
" 97/06/06","2,817,827","147,353,330","52.30","52.80","51.60","51.60","-0.10","1,340",
" 97/06/09","4,282,942","214,742,926","50.10","50.60","49.75","50.50","-1.10","1,617",
" 97/06/10","3,852,107","193,645,600","50.70","51.00","49.90","49.90","-0.60","1,843",
" 97/06/11","4,638,189","231,891,272","50.00","50.80","49.50","49.60","-0.30","1,686",
" 97/06/12","9,097,758","427,113,371","49.00","49.00","46.15","46.50","-3.10","2,828",
" 97/06/13","4,982,012","233,389,010","46.50","48.00","46.20","47.50","+1.00","2,051",
" 97/06/16","1,992,162","95,072,278","48.00","48.20","47.50","47.55","+0.05","993",
" 97/06/17","5,146,202","233,565,039","47.60","47.80","44.60","45.80","-1.75","2,052",
" 97/06/18","2,729,160","126,756,739","45.30","47.10","45.30","46.90","+1.10","1,332",
" 97/06/19","2,385,574","110,311,545","46.00","46.65","45.60","46.40","-0.50","1,016",
" 97/06/20","4,702,064","212,001,480","47.00","47.00","44.00","44.50","-1.90","1,871",
" 97/06/23","6,892,512","290,265,282","43.10","43.60","41.45","42.00","-2.50","2,432",
" 97/06/24","5,088,729","214,136,850","42.00","42.55","41.60","42.45","+0.45","1,442",
" 97/06/25","3,648,332","156,838,008","42.80","43.85","42.30","43.85","+1.40","1,690",
" 97/06/26","3,910,427","170,617,195","43.70","44.50","42.55","42.60","-1.25","1,357",
" 97/06/27","5,681,226","228,704,847","40.00","41.05","39.65","40.50","-2.10","1,922",
" 97/06/30","4,796,122","196,700,774","40.80","41.60","40.30","41.05","+0.55","1,486",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

