"106年02月 2105 正新             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/02/02","8,666,298","538,070,602","63.40","63.60","61.50","61.50","-0.70","4,829",
"106/02/03","4,122,489","254,839,359","62.00","62.40","61.60","62.10","+0.60","2,557",
"106/02/06","2,529,632","157,502,228","62.30","62.50","62.10","62.30","+0.20","1,618",
"106/02/07","7,040,715","445,697,621","62.10","64.00","62.10","63.70","+1.40","3,520",
"106/02/08","6,011,317","377,799,183","63.50","63.50","62.20","62.80","-0.90","3,001",
"106/02/09","3,422,313","216,796,889","62.80","63.60","62.80","63.60","+0.80","1,661",
"106/02/10","5,471,131","351,055,505","63.80","64.40","63.70","64.40","+0.80","3,133",
"106/02/13","5,372,619","345,197,287","64.00","64.80","63.40","64.70","+0.30","2,288",
"106/02/14","8,741,411","571,700,812","64.70","65.90","64.40","65.90","+1.20","5,010",
"106/02/15","9,881,315","658,027,642","66.00","67.10","66.00","66.90","+1.00","4,386",
"106/02/16","7,101,776","469,639,878","67.00","67.00","65.60","66.10","-0.80","3,061",
"106/02/17","4,444,337","290,550,891","66.00","66.00","65.00","65.30","-0.80","2,184",
"106/02/18","945,766","61,871,085","65.20","65.70","65.00","65.50","+0.20","584",
"106/02/20","2,726,465","179,209,749","65.70","66.00","65.50","65.80","+0.30","1,365",
"106/02/21","2,675,112","175,471,137","65.90","66.00","65.00","66.00","+0.20","1,536",
"106/02/22","2,728,415","179,726,738","66.10","66.10","65.30","66.10","+0.10","1,709",
"106/02/23","3,202,610","210,440,806","66.00","66.00","65.40","65.90","-0.20","2,033",
"106/02/24","4,511,285","294,977,634","65.30","65.70","65.10","65.30","-0.60","2,614",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

