"9009る 2106              らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 90/09/03","1,083,610","11,588,133","11.10","11.10","10.50","10.70","-0.40","333",
" 90/09/04","1,043,068","11,203,271","10.90","10.90","10.50","10.70"," 0.00","375",
" 90/09/05","771,092","8,196,217","10.70","10.85","10.45","10.60","-0.10","256",
" 90/09/06","884,601","8,930,931","10.60","10.60","9.90","10.00","-0.60","297",
" 90/09/07","586,000","5,688,600","9.55","10.00","9.55","9.80","-0.20","179",
" 90/09/10","426,010","4,148,747","9.70","9.90","9.60","9.80"," 0.00","113",
" 90/09/11","633,362","6,199,629","9.95","9.95","9.60","9.60","-0.20","176",
" 90/09/13","1,869,354","16,772,077","8.95","9.15","8.95","9.05","-0.55","389",
" 90/09/14","3,690,375","33,890,825","8.55","9.45","8.55","9.00","-0.05","705",
" 90/09/19","2,054,132","19,069,829","9.15","9.60","9.00","9.60","+0.60","460",
" 90/09/20","3,245,400","32,490,814","9.80","10.25","9.70","10.25","+0.65","807",
" 90/09/21","823,406","8,176,676","10.00","10.20","9.90","9.90","-0.35","187",
" 90/09/24","827,180","8,069,457","10.00","10.10","9.35","9.90"," 0.00","281",
" 90/09/25","1,163,295","11,628,742","10.00","10.20","9.70","10.15","+0.25","375",
" 90/09/26","479,254","4,796,314","10.00","10.15","9.75","10.05","-0.10","197",
" 90/09/27","420,860","4,114,087","10.05","10.05","9.60","9.85","-0.20","171",
" 90/09/28","767,954","7,620,244","9.80","10.05","9.80","9.90","+0.05","237",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

