"106年11月 2106 建大             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/11/01","884,067","35,289,157","40.30","40.30","39.70","39.80","-0.20","624",
"106/11/02","679,318","26,841,700","39.75","39.75","39.45","39.55","-0.25","543",
"106/11/03","664,220","26,145,234","39.60","39.70","39.20","39.45","-0.10","430",
"106/11/06","639,576","25,041,808","39.60","39.60","39.05","39.10","-0.35","521",
"106/11/07","564,115","22,133,274","39.00","39.40","39.00","39.40","+0.30","336",
"106/11/08","473,003","18,490,809","39.40","39.40","39.00","39.10","-0.30","338",
"106/11/09","872,762","33,928,878","39.10","39.30","38.70","38.90","-0.20","521",
"106/11/10","496,797","19,140,833","38.80","38.80","38.45","38.70","-0.20","357",
"106/11/13","788,579","30,626,604","38.70","39.45","38.60","39.45","+0.75","495",
"106/11/14","1,150,886","44,976,179","39.55","39.75","38.50","38.60","-0.85","649",
"106/11/15","1,254,085","47,626,730","38.30","38.45","37.75","38.00","-0.60","730",
"106/11/16","1,344,696","51,151,948","38.00","38.40","37.60","38.00"," 0.00","607",
"106/11/17","1,142,483","43,408,704","38.00","38.20","37.90","38.00"," 0.00","579",
"106/11/20","655,431","24,982,614","38.00","38.40","38.00","38.00"," 0.00","407",
"106/11/21","954,889","36,315,858","38.35","38.35","38.00","38.10","+0.10","686",
"106/11/22","811,130","31,448,695","38.10","39.35","38.10","39.05","+0.95","521",
"106/11/23","664,795","25,811,077","39.25","39.25","38.55","38.85","-0.20","387",
"106/11/24","351,435","13,523,993","38.85","38.85","38.30","38.40","-0.45","309",
"106/11/27","380,282","14,497,148","38.20","38.25","38.05","38.15","-0.25","247",
"106/11/28","478,025","18,200,090","38.15","38.30","38.00","38.30","+0.15","322",
"106/11/29","471,107","17,975,970","38.60","38.60","38.05","38.30"," 0.00","370",
"106/11/30","718,427","27,533,686","38.20","38.50","38.05","38.25","-0.05","377",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

