"95年11月 2201 裕隆             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 95/11/01","1,348,313","44,559,652","32.95","33.30","32.85","33.00","+0.05","429",
" 95/11/02","3,131,211","104,961,900","33.00","34.00","32.85","34.00","+1.00","945",
" 95/11/03","6,735,815","232,696,386","34.00","34.95","34.00","34.80","+0.80","1,638",
" 95/11/06","5,042,716","173,995,667","34.40","35.00","34.15","34.35","-0.45","977",
" 95/11/07","12,751,772","450,598,420","34.55","35.70","34.50","35.20","+0.85","2,283",
" 95/11/08","3,885,998","135,714,583","35.20","35.20","34.65","35.05","-0.15","644",
" 95/11/09","14,899,055","534,436,457","35.00","36.45","34.85","36.00","+0.95","2,880",
" 95/11/10","3,741,591","132,384,127","35.50","35.90","35.15","35.40","-0.60","839",
" 95/11/13","4,450,221","157,513,506","35.40","36.00","35.05","35.50","+0.10","1,046",
" 95/11/14","15,212,499","550,788,866","35.70","36.90","35.10","35.30","-0.20","2,995",
" 95/11/15","6,654,810","236,868,546","35.50","36.20","34.95","36.00","+0.70","1,718",
" 95/11/16","3,140,840","112,527,984","36.00","36.20","35.55","35.60","-0.40","1,025",
" 95/11/17","2,303,613","82,372,081","35.60","36.00","35.55","35.70","+0.10","599",
" 95/11/20","4,007,385","144,435,305","35.80","36.30","35.80","35.95","+0.25","1,060",
" 95/11/21","3,843,815","138,282,205","36.00","36.25","35.70","36.00","+0.05","775",
" 95/11/22","3,991,648","145,273,235","36.25","36.55","35.70","36.50","+0.50","989",
" 95/11/23","22,921,367","868,500,701","36.60","38.45","36.60","38.15","+1.65","3,884",
" 95/11/24","9,565,603","364,783,337","38.20","38.45","37.70","38.15"," 0.00","2,072",
" 95/11/27","44,535,276","1,761,119,627","38.40","40.20","38.05","40.00","+1.85","6,219",
" 95/11/28","14,460,828","570,748,687","39.80","39.80","39.15","39.40","-0.60","2,478",
" 95/11/29","43,711,629","1,765,466,422","39.60","41.20","39.20","40.55","+1.15","5,915",
" 95/11/30","22,703,349","916,745,309","40.00","40.90","39.75","40.90","+0.35","4,244",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

