"10403る 2204 い地             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/03/02","1,249,240","33,844,801","27.10","27.20","27.00","27.00","-0.05","872",
"104/03/03","1,309,126","35,426,963","27.00","27.20","27.00","27.20","+0.20","909",
"104/03/04","610,425","16,524,544","27.20","27.20","27.00","27.15","-0.05","352",
"104/03/05","890,918","24,087,186","27.10","27.15","27.00","27.00","-0.15","553",
"104/03/06","988,430","26,807,686","27.15","27.20","27.00","27.05","+0.05","431",
"104/03/09","751,625","20,411,461","27.20","27.25","27.05","27.15","+0.10","473",
"104/03/10","1,569,182","42,410,764","27.15","27.15","26.95","26.95","-0.20","1,143",
"104/03/11","1,295,868","34,853,895","26.85","27.10","26.80","26.90","-0.05","789",
"104/03/12","842,499","22,743,573","26.90","27.15","26.80","27.00","+0.10","529",
"104/03/13","2,013,536","53,878,087","27.00","27.10","26.60","26.75","-0.25","912",
"104/03/16","818,279","21,967,822","26.80","26.95","26.75","26.90","+0.15","578",
"104/03/17","1,085,802","29,379,681","26.90","27.15","26.90","27.05","+0.15","733",
"104/03/18","1,071,580","29,013,611","27.10","27.15","27.00","27.10","+0.05","847",
"104/03/19","1,382,519","37,682,288","27.20","27.30","27.20","27.30","+0.20","873",
"104/03/20","957,449","26,079,409","27.30","27.40","27.05","27.20","-0.10","500",
"104/03/23","1,581,994","43,237,284","27.20","27.45","27.20","27.40","+0.20","922",
"104/03/24","1,648,911","45,278,909","27.50","27.55","27.40","27.50","+0.10","859",
"104/03/25","733,083","20,023,365","27.40","27.50","27.20","27.35","-0.15","387",
"104/03/26","1,598,212","43,411,095","27.30","27.40","26.90","27.35"," 0.00","1,016",
"104/03/27","2,153,648","58,023,475","27.30","27.30","26.70","27.05","-0.30","1,009",
"104/03/30","714,970","19,355,228","27.10","27.15","26.95","27.00","-0.05","491",
"104/03/31","1,616,911","43,665,434","27.00","27.15","26.85","27.10","+0.10","1,083",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

