"108年02月 2204 中華             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/02/11","1,132,808","26,778,213","23.90","23.90","23.55","23.55","-0.35","636",
"108/02/12","620,485","14,679,713","23.65","23.75","23.60","23.60","+0.05","394",
"108/02/13","350,510","8,296,434","23.75","23.75","23.60","23.70","+0.10","195",
"108/02/14","304,447","7,238,385","23.80","23.85","23.70","23.80","+0.10","192",
"108/02/15","330,385","7,858,068","23.80","23.90","23.70","23.75","-0.05","217",
"108/02/18","380,330","9,081,832","23.80","23.95","23.75","23.90","+0.15","222",
"108/02/19","277,860","6,633,601","23.95","23.95","23.85","23.85","-0.05","206",
"108/02/20","656,179","15,673,713","23.85","24.00","23.85","23.85"," 0.00","343",
"108/02/21","468,693","11,207,344","24.00","24.00","23.85","23.90","+0.05","301",
"108/02/22","380,529","9,111,846","23.90","24.00","23.90","24.00","+0.10","239",
"108/02/25","797,529","19,191,743","24.00","24.15","23.90","24.10","+0.10","484",
"108/02/26","505,364","12,189,200","24.15","24.20","24.05","24.15","+0.05","342",
"108/02/27","307,301","7,417,031","24.15","24.20","24.10","24.20","+0.05","161",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

