"8712る 2207 ㎝ó           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 87/12/01","44,460","1,762,116","39.40","40.60","39.10","39.50","-0.80","38",
" 87/12/02","96,943","3,827,259","40.00","40.00","39.20","39.50","0.00","43",
" 87/12/03","84,256","3,332,247","40.00","40.00","39.50","39.50","0.00","64",
" 87/12/04","113,392","4,475,104","39.50","39.80","39.20","39.60","0.10","65",
" 87/12/07","89,721","3,559,905","40.00","40.30","39.20","39.30","-0.30","49",
" 87/12/08","61,495","2,408,449","39.10","39.30","39.10","39.30","0.00","50",
" 87/12/09","88,624","3,468,594","39.30","39.30","39.00","39.10","-0.20","44",
" 87/12/10","141,998","5,540,119","39.00","39.20","38.80","38.80","-0.30","55",
" 87/12/11","134,672","5,169,239","38.50","38.70","38.20","38.20","-0.60","48",
" 87/12/14","70,300","2,683,900","38.20","38.30","38.10","38.10","-0.10","31",
" 87/12/15","72,909","2,779,849","38.10","38.30","38.00","38.20","0.10","35",
" 87/12/16","81,609","3,120,542","38.20","38.50","38.10","38.10","-0.10","29",
" 87/12/17","509,112","18,867,440","37.00","37.80","37.00","37.10","-1.00","43",
" 87/12/18","127,715","4,748,190","37.10","38.00","37.00","37.10","0.00","31",
" 87/12/19","194,012","7,192,150","37.70","37.70","37.00","37.00","-0.10","48",
" 87/12/21","39,000","1,449,600","37.20","37.60","37.00","37.60","0.60","21",
" 87/12/22","119,250","4,519,852","37.60","38.40","37.60","38.10","0.50","38",
" 87/12/23","49,997","1,885,679","38.10","38.10","37.60","37.60","-0.50","38",
" 87/12/24","19,143","720,166","38.00","38.00","37.30","37.30","-0.30","21",
" 87/12/28","126,818","4,692,377","37.30","37.30","36.80","36.80","-0.50","58",
" 87/12/29","143,000","5,272,500","37.00","37.00","36.50","36.90","0.10","44",
" 87/12/30","171,070","6,246,477","36.90","36.90","36.00","36.30","-0.60","57",
" 87/12/31","533,100","18,217,211","36.50","36.50","33.80","33.90","-2.40","218",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

