"105年08月 2207 和泰車           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/08/01","490,204","159,970,176","323.00","329.00","321.00","325.50","+5.50","421",
"105/08/02","208,044","67,647,020","328.00","328.50","323.00","326.00","+0.50","185",
"105/08/03","344,100","109,847,200","320.50","323.00","311.00","323.00","-3.00","314",
"105/08/04","214,015","68,384,405","321.00","325.00","315.50","322.50","-0.50","190",
"105/08/05","728,641","235,157,107","324.00","327.00","321.50","327.00","+4.50","225",
"105/08/08","146,000","47,921,500","329.00","329.50","325.00","329.50","+2.50","111",
"105/08/09","154,779","50,844,733","323.00","330.00","323.00","329.50"," 0.00","145",
"105/08/10","193,432","63,949,560","329.00","332.00","327.00","332.00","+2.50","162",
"105/08/11","196,327","64,957,718","332.00","334.00","326.00","334.00","+2.00","180",
"105/08/12","480,155","161,815,347","337.00","340.00","335.50","335.50","+1.50","356",
"105/08/15","329,921","112,115,403","335.50","343.00","333.50","343.00","+7.50","295",
"105/08/16","508,176","175,330,481","345.00","347.50","340.00","347.50","+4.50","418",
"105/08/17","272,366","94,285,781","347.50","347.50","343.50","347.50"," 0.00","257",
"105/08/18","191,049","66,425,052","345.00","350.00","343.50","348.50","+1.00","138",
"105/08/19","348,998","121,707,254","348.50","352.50","345.50","346.50","-2.00","321",
"105/08/22","185,425","63,506,775","342.00","347.50","340.00","342.50","-4.00","166",
"105/08/23","186,670","64,787,990","342.00","349.50","341.00","349.00","+6.50","182",
"105/08/24","234,900","81,974,000","348.50","351.00","346.50","348.00","-1.00","174",
"105/08/25","226,121","78,906,028","349.00","350.00","347.00","350.00","+2.00","215",
"105/08/26","102,043","35,648,050","350.00","350.00","348.00","350.00"," 0.00","108",
"105/08/29","226,104","78,457,900","349.50","350.00","341.00","350.00"," 0.00","217",
"105/08/30","540,083","192,946,712","351.00","365.00","351.00","362.00","+12.00","452",
"105/08/31","657,870","235,162,440","370.00","370.00","351.00","351.00","-11.00","502",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

