"105年08月 2227 裕日車           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/08/01","51,416","10,717,152","207.50","209.50","207.50","208.00","+0.50","47",
"105/08/02","64,320","13,532,180","208.50","211.00","208.00","210.50","+2.50","69",
"105/08/03","72,585","15,185,520","211.00","211.00","208.50","209.00","-1.50","71",
"105/08/04","71,335","15,028,025","210.00","212.00","209.50","211.00","+2.00","65",
"105/08/05","294,124","62,857,095","211.50","216.00","211.50","214.00","+3.00","227",
"105/08/08","186,702","40,487,386","216.00","218.00","215.50","217.00","+3.00","172",
"105/08/09","92,330","19,953,600","217.50","218.00","214.50","216.50","-0.50","97",
"105/08/10","67,700","14,590,050","216.50","217.00","215.00","216.00","-0.50","65",
"105/08/11","101,018","21,592,406","215.50","216.00","212.50","215.50","-0.50","96",
"105/08/12","62,421","13,505,646","217.50","217.50","215.50","216.50","+1.00","62",
"105/08/15","70,242","15,225,133","215.00","217.50","215.00","217.00","+0.50","61",
"105/08/16","129,670","27,932,550","217.00","217.00","214.00","216.50","-0.50","109",
"105/08/17","116,639","25,118,120","215.00","217.00","214.50","216.50"," 0.00","107",
"105/08/18","65,369","14,177,549","214.50","218.00","214.50","217.00","+0.50","68",
"105/08/19","119,857","25,940,755","215.50","218.00","215.50","217.00"," 0.00","122",
"105/08/22","130,170","28,089,805","216.50","216.50","215.00","215.50","-1.50","127",
"105/08/23","165,253","35,704,407","217.50","217.50","215.00","215.50"," 0.00","146",
"105/08/24","446,742","97,102,740","216.00","218.50","215.50","218.50","+3.00","338",
"105/08/25","248,271","51,228,952","206.50","207.50","205.00","206.00","X0.00","192",
"105/08/26","139,407","28,853,749","207.00","208.00","206.50","207.50","+1.50","131",
"105/08/29","178,699","36,593,795","207.50","207.50","203.50","205.00","-2.50","171",
"105/08/30","53,314","10,933,056","206.00","206.00","204.00","205.50","+0.50","52",
"105/08/31","98,459","20,190,095","205.50","206.00","204.50","205.00","-0.50","92",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

