"8909る 2301 腳           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 89/09/01","2,617,433","104,392,488","40.70","41.00","38.50","39.00","-1.50","1,104",
" 89/09/02","4,310,481","173,550,154","39.00","40.90","39.00","40.70","+1.70","1,589",
" 89/09/04","5,101,000","210,519,900","41.00","41.90","40.80","41.20","+0.50","1,704",
" 89/09/05","2,584,853","105,435,149","41.50","41.50","40.30","40.40","-0.80","1,309",
" 89/09/06","8,236,329","339,156,809","41.00","41.80","40.40","40.50","+0.10","2,788",
" 89/09/07","2,730,428","109,658,953","40.40","40.50","39.80","40.10","-0.40","1,388",
" 89/09/08","2,582,540","103,400,461","40.50","40.80","39.70","40.30","+0.20","1,102",
" 89/09/11","1,524,255","60,745,563","40.20","40.30","39.50","39.50","-0.80","712",
" 89/09/13","2,804,926","110,594,469","39.50","40.20","38.50","40.20","+0.70","1,055",
" 89/09/14","2,104,209","82,591,690","40.00","40.20","38.50","38.50","-1.70","831",
" 89/09/15","4,632,009","180,404,318","38.50","39.80","37.90","38.50"," 0.00","1,646",
" 89/09/16","2,630,643","99,704,098","38.00","38.50","37.20","38.00","-0.50","1,057",
" 89/09/18","2,168,000","80,775,600","38.00","38.20","36.00","36.00","-2.00","872",
" 89/09/19","3,703,594","127,042,485","34.20","35.80","33.50","33.50","-2.50","1,463",
" 89/09/20","9,548,707","301,263,801","31.40","33.40","31.20","31.20","-2.30","2,594",
" 89/09/21","16,598,383","507,418,210","31.20","31.50","29.20","30.40","-0.80","4,662",
" 89/09/22","6,502,245","186,643,741","29.40","29.60","28.30","28.30","-2.10","2,215",
" 89/09/25","9,040,207","241,439,674","26.60","27.70","26.40","26.40","-1.90","2,649",
" 89/09/26","16,950,318","431,571,237","24.70","26.90","24.60","26.90","+0.50","4,710",
" 89/09/27","19,155,916","530,356,657","27.00","28.50","26.50","27.00","+0.10","5,310",
" 89/09/28","11,232,783","306,853,256","27.20","27.90","26.50","26.90","-0.10","3,408",
" 89/09/29","9,269,574","240,542,210","27.10","27.30","25.10","25.10","-1.80","2,614",
" 89/09/30","5,907,165","138,521,489","23.40","24.20","23.40","23.40","-1.70","1,767",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

