"10004る 2308 笷筿           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/04/01","3,794,573","448,879,187","117.50","119.00","117.50","118.50","+2.00","1,995",
"100/04/06","12,696,326","1,571,217,224","121.00","126.50","120.00","126.50","+8.00","5,435",
"100/04/07","10,187,290","1,310,659,410","129.50","130.00","127.00","129.50","+3.00","3,469",
"100/04/08","11,415,614","1,494,034,112","131.00","132.50","129.00","130.50","+1.00","4,018",
"100/04/11","7,331,055","939,100,115","132.00","132.00","126.50","130.00","-0.50","2,831",
"100/04/12","6,103,439","756,770,148","126.00","127.00","122.50","123.50","-6.50","3,091",
"100/04/13","4,136,491","519,320,105","124.50","126.50","124.00","126.50","+3.00","1,924",
"100/04/14","3,092,979","388,085,875","125.50","126.00","124.50","125.50","-1.00","1,406",
"100/04/15","2,551,153","320,450,625","127.00","127.00","125.00","125.00","-0.50","1,111",
"100/04/18","3,563,395","446,343,270","127.00","127.00","124.00","126.00","+1.00","1,742",
"100/04/19","5,435,692","676,943,192","123.00","127.00","123.00","126.00"," 0.00","2,122",
"100/04/20","7,237,500","936,497,700","128.00","130.50","127.50","130.00","+4.00","2,667",
"100/04/21","10,345,076","1,361,620,032","131.00","132.50","130.50","132.50","+2.50","3,069",
"100/04/22","5,052,433","666,415,933","132.50","132.50","131.00","132.00","-0.50","1,697",
"100/04/25","2,856,166","378,694,482","133.00","133.50","131.50","132.50","+0.50","1,346",
"100/04/26","5,908,495","779,726,835","130.50","133.00","130.50","133.00","+0.50","2,149",
"100/04/27","7,102,434","952,588,207","134.00","135.50","134.00","134.00","+1.00","2,207",
"100/04/28","5,797,653","765,076,196","134.00","134.50","129.50","132.50","-1.50","2,256",
"100/04/29","9,333,504","1,212,733,512","132.50","133.00","126.50","128.00","-4.50","3,642",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

