"105年09月 2308 台達電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/09/01","4,589,973","761,372,443","166.00","169.00","163.50","169.00","+4.00","2,775",
"105/09/02","3,541,506","591,283,251","169.50","170.00","165.50","167.50","-1.50","2,025",
"105/09/05","3,669,661","630,262,514","169.50","174.00","169.50","173.50","+6.00","2,341",
"105/09/06","4,628,757","807,570,833","173.50","175.50","172.00","175.00","+1.50","2,616",
"105/09/07","3,163,025","551,746,836","175.00","175.50","173.00","174.50","-0.50","1,937",
"105/09/08","3,221,963","561,123,514","174.50","175.00","172.50","174.50"," 0.00","1,879",
"105/09/09","3,683,340","625,980,300","172.00","172.00","169.00","170.00","-4.50","1,925",
"105/09/10","2,225,770","369,475,201","167.00","168.00","165.50","165.50","-4.50","1,616",
"105/09/12","8,391,940","1,345,773,400","163.50","164.00","158.00","158.00","-7.50","4,768",
"105/09/13","7,137,299","1,152,779,237","161.00","163.50","158.50","163.00","+5.00","4,360",
"105/09/14","8,686,092","1,368,194,720","159.50","162.00","156.00","156.00","-7.00","4,333",
"105/09/19","10,900,823","1,812,054,894","160.50","169.50","160.00","169.50","+13.50","6,652",
"105/09/20","4,548,445","763,275,760","169.50","169.50","166.00","168.50","-1.00","2,612",
"105/09/21","4,845,069","805,332,373","167.00","167.50","165.00","167.00","-1.50","2,343",
"105/09/22","4,925,335","808,969,436","168.00","168.50","162.50","164.00","-3.00","2,646",
"105/09/23","2,682,549","442,702,585","164.00","166.00","163.00","166.00","+2.00","1,902",
"105/09/26","3,259,450","542,622,200","165.50","168.00","163.50","166.00"," 0.00","1,602",
"105/09/29","8,197,135","1,386,099,180","169.00","171.00","166.00","169.00","+3.00","3,466",
"105/09/30","3,790,094","633,596,198","168.00","169.00","165.50","167.00","-2.00","2,149",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

