"10202る 2311 らる           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/02/01","23,600,460","565,749,061","23.90","24.20","23.80","23.95","+0.05","5,714",
"102/02/04","27,400,505","662,014,160","24.05","24.30","24.00","24.30","+0.35","5,820",
"102/02/05","21,540,198","513,828,970","24.00","24.10","23.70","23.75","-0.55","6,171",
"102/02/06","19,359,617","464,581,375","23.80","24.20","23.80","24.00","+0.25","5,219",
"102/02/18","23,139,496","547,460,063","24.00","24.00","23.50","23.60","-0.40","6,531",
"102/02/19","14,082,269","334,815,669","23.60","23.95","23.60","23.80","+0.20","3,535",
"102/02/20","53,457,954","1,324,458,763","24.00","25.20","23.90","25.15","+1.35","12,995",
"102/02/21","24,971,321","620,416,004","25.05","25.10","24.60","24.80","-0.35","5,941",
"102/02/22","24,086,030","597,282,625","24.70","25.10","24.50","24.95","+0.15","6,024",
"102/02/23","23,778,278","596,522,627","25.20","25.25","24.95","24.95"," 0.00","4,896",
"102/02/25","23,929,431","595,286,717","24.95","25.10","24.65","24.65","-0.30","6,536",
"102/02/26","16,878,461","412,879,360","24.50","24.65","24.30","24.30","-0.35","4,219",
"102/02/27","19,222,139","472,403,127","24.50","24.70","24.30","24.60","+0.30","4,587",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

