"107年04月 2311 日月光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/04/02","8,015,448","338,057,721","42.00","42.45","42.00","42.25","+0.25","4,039",
"107/04/03","18,541,082","775,184,069","42.00","42.15","41.55","41.85","-0.40","5,828",
"107/04/09","17,504,767","745,732,163","42.95","43.00","42.10","43.00","+1.15","6,596",
"107/04/10","20,336,474","869,272,286","42.95","43.00","42.50","43.00"," 0.00","6,048",
"107/04/11","16,626,263","711,758,563","43.10","43.15","42.65","42.65","-0.35","6,020",
"107/04/12","13,692,281","582,702,084","42.85","42.95","42.25","42.60","-0.05","5,576",
"107/04/13","51,240,806","2,258,771,333","42.65","45.20","42.50","44.35","+1.75","15,109",
"107/04/16","84,321,407","3,814,322,621","45.70","45.95","44.60","45.50","+1.15","27,027",
"107/04/17","86,190,585","3,868,718,130","45.90","46.10","44.15","44.50","-1.00","23,163",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

