"9805る 2313 地硄             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 98/05/04","37,684,454","335,707,318","8.53","9.08","8.50","9.08","+0.59","4,785",
" 98/05/05","85,171,155","797,561,346","9.20","9.70","8.70","9.58","+0.50","11,789",
" 98/05/06","52,803,459","515,875,844","9.66","9.97","9.40","9.65","+0.07","8,207",
" 98/05/07","63,411,444","623,428,604","9.65","10.10","9.50","9.80","+0.15","9,144",
" 98/05/08","72,774,076","732,209,573","9.80","10.40","9.55","10.35","+0.55","10,247",
" 98/05/11","46,324,520","468,634,890","10.30","10.40","9.80","9.80","-0.55","6,458",
" 98/05/12","36,123,015","332,706,136","9.61","9.66","9.12","9.12","-0.68","5,718",
" 98/05/13","26,112,064","242,819,438","9.27","9.45","9.00","9.25","+0.13","4,759",
" 98/05/14","19,717,957","179,979,566","9.00","9.33","8.95","9.00","-0.25","3,144",
" 98/05/15","47,363,518","444,466,141","9.05","9.63","9.05","9.63","+0.63","5,651",
" 98/05/18","72,231,895","714,551,964","9.75","10.05","9.70","9.80","+0.17","8,964",
" 98/05/19","36,998,315","359,483,562","9.97","10.05","9.20","9.31","-0.49","5,781",
" 98/05/20","21,145,268","198,235,928","9.40","9.58","9.22","9.27","-0.04","3,509",
" 98/05/21","18,699,775","175,804,542","9.27","9.57","9.27","9.31","+0.04","3,300",
" 98/05/22","30,329,414","287,708,539","9.21","9.70","9.21","9.35","+0.04","4,624",
" 98/05/25","21,960,047","204,918,586","9.45","9.53","9.20","9.20","-0.15","3,816",
" 98/05/26","28,777,612","269,486,731","9.52","9.53","9.18","9.27","+0.07","4,887",
" 98/05/27","67,461,621","657,879,577","9.49","9.91","9.39","9.73","+0.46","8,527",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

