"107年02月 2313 華通             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/02/01","17,210,575","618,349,512","36.40","36.80","35.30","35.65","-0.55","7,478",
"107/02/02","10,723,177","387,727,106","36.05","36.60","35.85","35.85","+0.20","4,908",
"107/02/05","25,146,260","914,398,430","35.60","37.45","34.80","37.20","+1.35","10,265",
"107/02/06","36,108,603","1,266,891,261","35.90","36.60","33.70","34.65","-2.55","13,811",
"107/02/07","14,312,838","508,919,609","35.80","36.40","34.95","34.95","+0.30","6,248",
"107/02/08","12,134,624","417,693,975","35.10","35.15","34.15","34.30","-0.65","5,040",
"107/02/09","18,653,989","608,903,523","32.00","33.60","31.50","33.35","-0.95","8,549",
"107/02/12","10,172,076","340,598,711","33.80","34.30","33.05","33.05","-0.30","3,970",
"107/02/21","14,427,540","489,775,764","33.90","34.50","33.55","33.80","+0.75","5,430",
"107/02/22","9,137,111","304,197,310","33.45","33.60","33.05","33.30","-0.50","4,433",
"107/02/23","30,506,687","1,075,496,232","33.60","36.30","33.60","35.85","+2.55","13,202",
"107/02/26","31,967,028","1,127,597,604","36.05","36.40","34.70","34.80","-1.05","12,397",
"107/02/27","21,789,561","756,871,209","35.35","35.55","34.00","34.00","-0.80","9,560",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

