"10102る 2315 笷             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/02/01","14,842,131","152,132,130","9.80","10.40","9.70","10.30","+0.54","3,589",
"101/02/02","10,592,260","110,439,381","10.55","10.65","10.25","10.45","+0.15","2,659",
"101/02/03","9,615,782","101,222,095","10.50","10.70","10.25","10.55","+0.10","2,436",
"101/02/04","9,542,332","101,408,473","10.70","10.80","10.50","10.55"," 0.00","2,213",
"101/02/06","16,010,181","172,649,843","10.55","10.95","10.40","10.55"," 0.00","3,439",
"101/02/07","6,152,082","64,528,986","10.50","10.70","10.35","10.40","-0.15","1,462",
"101/02/08","9,208,605","98,168,008","10.50","10.80","10.50","10.60","+0.20","2,163",
"101/02/09","25,785,228","280,711,099","10.60","11.20","10.45","11.10","+0.50","5,415",
"101/02/10","10,770,938","117,170,919","11.10","11.10","10.75","10.75","-0.35","2,397",
"101/02/13","12,797,178","141,411,208","10.75","11.20","10.75","11.10","+0.35","2,992",
"101/02/14","7,157,069","78,350,680","11.20","11.20","10.80","10.85","-0.25","1,938",
"101/02/15","7,740,428","84,880,139","10.95","11.10","10.85","10.95","+0.10","1,834",
"101/02/16","10,409,285","112,857,877","10.95","11.10","10.50","10.55","-0.40","2,268",
"101/02/17","7,521,419","80,604,282","10.90","10.95","10.55","10.60","+0.05","1,741",
"101/02/20","3,341,606","35,646,756","10.70","10.80","10.60","10.65","+0.05","877",
"101/02/21","3,835,503","40,497,889","10.65","10.75","10.50","10.50","-0.15","1,062",
"101/02/22","4,966,295","52,765,263","10.50","10.75","10.50","10.65","+0.15","1,271",
"101/02/23","11,708,517","127,477,465","10.60","11.10","10.60","10.85","+0.20","2,840",
"101/02/24","6,530,450","70,981,702","10.80","11.05","10.70","10.70","-0.15","1,425",
"101/02/29","14,947,811","164,362,741","10.75","11.10","10.75","10.85","+0.15","3,216",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

