"10207る 2317 翬             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/07/01","28,664,968","2,124,797,941","74.00","74.50","73.50","74.10","+0.10","11,687",
"102/07/02","25,108,847","1,861,614,701","74.90","74.90","73.30","73.30","-0.80","10,938",
"102/07/03","26,867,088","1,974,216,319","74.50","74.50","73.00","73.20","-0.10","11,289",
"102/07/04","20,039,555","1,462,805,076","73.80","73.80","72.50","72.60","-0.60","8,664",
"102/07/05","32,516,155","2,415,482,859","73.50","74.80","73.10","74.60","+2.00","14,144",
"102/07/08","23,807,921","1,756,014,108","74.60","74.60","73.40","73.40","-1.20","9,468",
"102/07/09","29,857,120","2,218,310,750","73.20","74.70","73.20","74.50","+1.10","13,371",
"102/07/10","47,903,827","3,629,523,269","75.10","76.50","75.10","75.90","+1.40","20,520",
"102/07/11","93,454,807","7,262,264,146","77.50","78.00","77.30","78.00","+2.10","36,296",
"102/07/12","38,454,000","2,993,729,300","78.00","78.20","77.60","78.00"," 0.00","15,397",
"102/07/15","35,932,773","2,813,787,661","78.00","78.70","77.80","78.50","+0.50","15,105",
"102/07/16","28,494,671","2,229,212,799","78.80","78.80","77.80","78.40","-0.10","10,413",
"102/07/17","34,840,290","2,705,172,792","78.40","78.40","77.30","77.40","-1.00","12,134",
"102/07/18","28,679,834","2,230,786,152","77.90","78.30","77.20","78.00","+0.60","10,955",
"102/07/19","32,966,578","2,561,046,745","77.80","78.10","77.20","77.40","-0.60","12,227",
"102/07/22","26,960,263","2,103,385,330","78.00","78.40","77.60","77.60","+0.20","9,790",
"102/07/23","28,888,728","2,254,106,198","78.00","78.20","77.80","77.90","+0.30","9,182",
"102/07/24","38,705,667","3,052,573,079","78.60","79.30","78.30","79.00","+1.10","16,560",
"102/07/25","28,693,516","2,273,118,864","79.10","79.60","78.60","79.20","+0.20","12,111",
"102/07/26","20,026,374","1,582,269,618","79.30","79.60","78.60","78.90","-0.30","8,008",
"102/07/29","14,632,824","1,154,130,405","79.50","79.60","78.50","78.60","-0.30","6,034",
"102/07/30","22,474,022","1,767,592,350","78.60","78.90","78.30","78.70","+0.10","8,061",
"102/07/31","19,564,436","1,533,270,887","79.00","79.10","77.80","77.80","-0.90","8,438",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

