"105年12月 2317 鴻海             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/12/01","26,194,944","2,155,266,808","82.70","82.70","81.70","82.40","+0.40","14,033",
"105/12/02","29,231,971","2,385,451,959","81.50","81.90","81.30","81.70","-0.70","13,189",
"105/12/05","16,511,600","1,345,802,825","81.60","81.90","81.10","81.30","-0.40","7,658",
"105/12/06","29,762,724","2,446,504,411","82.10","82.40","81.90","82.30","+1.00","12,312",
"105/12/07","38,118,860","3,163,814,461","83.20","83.40","82.80","83.10","+0.80","16,552",
"105/12/08","83,403,004","7,041,036,909","84.00","84.80","83.70","84.80","+1.70","37,837",
"105/12/09","47,933,555","4,075,058,278","85.50","85.60","84.70","85.00","+0.20","21,334",
"105/12/12","35,560,276","2,979,457,373","84.50","84.90","83.30","83.40","-1.60","19,752",
"105/12/13","36,527,626","3,071,478,684","84.00","84.40","83.60","84.40","+1.00","17,163",
"105/12/14","30,200,482","2,544,571,895","84.90","85.00","83.70","83.70","-0.70","14,849",
"105/12/15","33,238,409","2,788,792,456","83.50","84.30","83.50","84.20","+0.50","14,169",
"105/12/16","38,931,821","3,265,986,689","83.90","84.50","83.60","83.60","-0.60","13,994",
"105/12/19","24,351,909","2,023,334,586","83.50","83.70","82.80","82.80","-0.80","14,366",
"105/12/20","23,623,083","1,969,722,802","83.50","83.80","83.00","83.70","+0.90","11,649",
"105/12/21","34,041,300","2,849,351,603","84.10","84.20","83.30","83.30","-0.40","14,001",
"105/12/22","28,033,752","2,330,930,616","83.60","83.60","82.70","82.80","-0.50","13,691",
"105/12/23","21,893,963","1,814,343,262","82.70","83.50","82.60","82.70","-0.10","11,644",
"105/12/26","8,157,737","678,008,136","82.80","83.30","82.80","83.30","+0.60","4,365",
"105/12/27","8,564,348","713,905,378","83.50","83.60","83.00","83.50","+0.20","4,707",
"105/12/28","18,399,269","1,519,137,932","83.10","84.00","83.10","84.00","+0.50","7,714",
"105/12/29","23,802,717","1,996,176,571","83.10","84.30","83.10","83.60","-0.40","10,445",
"105/12/30","21,649,771","1,822,757,166","84.20","84.40","84.00","84.20","+0.60","9,273",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

