"94年11月 2323 中環             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 94/11/01","12,935,286","141,749,028","10.95","11.15","10.80","10.85","+0.30","2,363",
" 94/11/02","9,886,314","107,574,188","10.85","11.00","10.75","10.90","+0.05","1,620",
" 94/11/03","11,035,026","121,541,120","11.00","11.10","10.90","10.90"," 0.00","1,562",
" 94/11/04","8,973,449","97,787,448","10.95","11.10","10.80","10.90"," 0.00","1,483",
" 94/11/07","8,884,138","94,242,003","10.90","10.95","10.45","10.50","-0.40","1,564",
" 94/11/08","10,868,367","114,260,308","10.70","10.70","10.35","10.70","+0.20","1,539",
" 94/11/09","12,726,544","138,874,899","10.70","11.10","10.60","11.10","+0.40","2,087",
" 94/11/10","12,899,068","144,972,685","11.20","11.35","11.15","11.15","+0.05","2,044",
" 94/11/11","12,051,734","135,768,742","11.30","11.45","11.15","11.30","+0.15","1,727",
" 94/11/14","7,833,628","88,947,727","11.40","11.45","11.25","11.35","+0.05","1,369",
" 94/11/15","6,621,219","73,705,569","11.35","11.35","11.00","11.05","-0.30","1,045",
" 94/11/16","5,562,151","61,924,296","11.05","11.30","11.00","11.10","+0.05","1,067",
" 94/11/17","5,350,667","59,176,350","11.10","11.20","10.90","10.95","-0.15","1,264",
" 94/11/18","18,319,298","205,801,860","11.10","11.35","11.05","11.20","+0.25","2,387",
" 94/11/21","7,453,498","82,920,531","11.20","11.35","10.90","11.00","-0.20","1,385",
" 94/11/22","6,638,095","72,625,281","11.00","11.10","10.85","10.85","-0.15","1,030",
" 94/11/23","4,375,000","47,797,246","10.90","11.00","10.85","10.95","+0.10","976",
" 94/11/24","10,539,548","117,373,787","10.95","11.25","10.90","11.05","+0.10","1,855",
" 94/11/25","8,152,460","89,710,589","11.15","11.20","10.90","10.95","-0.10","1,227",
" 94/11/28","8,391,357","92,691,303","11.00","11.15","11.00","11.05","+0.10","1,426",
" 94/11/29","22,012,842","248,279,591","11.10","11.45","11.10","11.10","+0.05","2,827",
" 94/11/30","38,899,949","451,241,452","11.20","11.85","11.15","11.70","+0.60","5,599",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

