"8801る 2324 く腳             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 88/01/05","7,435,000","764,174,500","105.00","105.00","102.00","102.50","-2.50","3,297",
" 88/01/06","10,383,465","1,061,165,225","102.00","103.50","100.00","102.50","0.00","3,990",
" 88/01/07","12,792,700","1,316,588,822","103.50","104.50","101.00","104.00","1.50","4,999",
" 88/01/08","9,901,909","1,025,453,415","103.50","105.00","102.00","102.50","-1.50","3,579",
" 88/01/11","10,857,089","1,125,536,450","102.50","105.00","102.50","102.50","0.00","4,310",
" 88/01/12","8,709,628","895,740,937","103.00","104.00","101.50","102.50","0.00","3,396",
" 88/01/13","7,050,248","719,815,121","102.00","103.00","101.50","102.00","-0.50","2,594",
" 88/01/14","10,860,737","1,091,653,752","102.00","102.50","100.00","100.00","-2.00","4,120",
" 88/01/15","10,170,362","1,005,694,517","98.50","101.00","96.00","100.00","0.00","4,638",
" 88/01/16","45,296,218","4,770,122,188","101.00","107.00","100.50","105.00","5.00","13,438",
" 88/01/18","18,257,000","1,920,571,500","105.00","107.00","103.50","103.50","-1.50","6,578",
" 88/01/19","8,966,285","921,601,160","103.50","104.50","101.50","102.00","-1.50","3,634",
" 88/01/20","8,610,899","875,580,193","103.00","103.00","100.50","100.50","-1.50","3,363",
" 88/01/21","11,949,271","1,222,462,575","100.50","104.00","100.50","102.50","2.00","4,939",
" 88/01/22","6,602,563","665,685,265","101.50","102.00","100.00","100.00","-2.50","2,784",
" 88/01/25","10,600,547","1,028,566,926","98.00","99.00","96.00","96.00","-4.00","5,226",
" 88/01/26","9,840,506","935,397,350","96.00","97.00","94.00","96.00","0.00","4,024",
" 88/01/27","12,849,251","1,237,636,513","96.50","97.50","95.00","95.50","-0.50","5,284",
" 88/01/28","7,622,613","713,779,322","95.00","95.50","92.00","92.50","-3.00","3,378",
" 88/01/29","10,002,863","904,970,921","93.00","93.50","89.00","89.00","-3.50","4,555",
" 88/01/30","9,182,860","829,980,995","88.00","92.00","88.00","89.00","0.00","4,392",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

