"9004る 2325 珇             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 90/04/02","18,041,129","484,779,501","27.50","27.80","25.50","25.70","-1.40","4,802",
" 90/04/03","13,470,257","339,499,250","25.00","25.70","24.70","25.00","-0.70","3,475",
" 90/04/04","14,169,977","360,518,044","25.00","26.20","24.80","25.40","+0.40","3,597",
" 90/04/06","22,124,946","591,732,712","26.20","27.10","26.20","27.10","+1.70","5,044",
" 90/04/09","17,503,492","472,247,275","27.00","27.30","26.50","26.90","-0.20","4,479",
" 90/04/10","18,358,983","496,190,795","27.00","27.80","25.80","25.80","-1.10","5,028",
" 90/04/11","17,404,049","459,222,175","26.50","26.70","25.90","26.70","+0.90","4,019",
" 90/04/12","38,347,008","1,060,883,546","27.10","28.20","27.00","27.60","+0.90","8,924",
" 90/04/13","71,193,275","2,065,633,835","28.80","29.50","28.10","28.20","+0.60","13,466",
" 90/04/16","37,225,859","1,041,654,359","28.20","28.60","27.50","27.50","-0.70","8,900",
" 90/04/17","13,447,665","362,465,334","26.90","27.30","26.60","26.90","-0.60","4,063",
" 90/04/18","19,998,871","550,181,653","27.20","27.80","27.20","27.40","+0.50","4,859",
" 90/04/19","48,336,939","1,370,220,788","28.20","28.90","27.80","28.50","+1.10","10,860",
" 90/04/20","39,496,996","1,151,745,929","28.90","29.60","28.80","29.10","+0.60","8,644",
" 90/04/23","22,956,243","672,456,691","29.40","29.60","29.00","29.60","+0.50","5,292",
" 90/04/24","23,371,219","688,591,417","29.50","29.90","28.70","28.80","-0.80","5,356",
" 90/04/25","11,926,230","336,385,168","28.60","28.70","27.80","28.00","-0.80","3,252",
" 90/04/26","24,572,413","657,575,064","27.50","27.60","26.20","26.90","-1.10","7,264",
" 90/04/27","11,588,243","304,395,968","26.70","26.70","26.10","26.20","-0.70","3,144",
" 90/04/30","15,254,540","401,100,841","26.20","26.80","25.60","25.60","-0.60","4,148",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

