"106年01月 2327 國巨             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/01/03","711,746","42,029,859","58.60","59.40","58.50","59.10","+0.50","417",
"106/01/04","551,229","32,680,725","59.60","59.60","59.10","59.30","+0.20","339",
"106/01/05","1,045,995","62,706,990","59.30","60.40","59.20","60.10","+0.80","506",
"106/01/06","1,036,052","63,139,044","60.10","61.40","60.00","61.00","+0.90","669",
"106/01/09","1,363,037","83,921,544","61.20","62.10","61.10","61.50","+0.50","1,038",
"106/01/10","493,303","30,525,755","61.50","62.30","61.40","62.00","+0.50","432",
"106/01/11","2,144,100","135,057,310","62.00","64.00","61.50","63.90","+1.90","988",
"106/01/12","3,438,098","224,713,698","64.20","66.20","63.80","66.20","+2.30","1,561",
"106/01/13","25,739,930","1,539,703,647","65.50","65.80","64.50","64.80","-1.40","729",
"106/01/16","1,216,154","77,353,703","64.50","64.80","63.10","63.40","-1.40","813",
"106/01/17","599,472","38,103,966","63.60","63.90","63.10","63.60","+0.20","470",
"106/01/18","984,493","63,210,052","63.80","64.50","63.60","64.30","+0.70","793",
"106/01/19","2,279,166","149,822,662","64.40","66.80","63.80","65.90","+1.60","1,234",
"106/01/20","6,973,232","482,457,594","66.20","70.80","66.20","70.00","+4.10","2,818",
"106/01/23","2,359,040","164,744,360","69.60","70.40","68.50","70.00"," 0.00","1,257",
"106/01/24","6,482,587","478,854,525","72.00","76.40","70.30","76.00","+6.00","2,867",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

