"9908る 2328 約             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/08/02","4,589,781","235,281,331","51.00","51.60","50.80","51.20","+0.80","1,904",
" 99/08/03","8,573,574","446,674,113","51.80","52.60","51.70","51.80","+0.60","3,578",
" 99/08/04","15,051,120","795,456,460","51.60","53.60","51.50","53.00","+1.20","6,557",
" 99/08/05","7,592,007","397,862,145","53.50","53.60","51.30","51.40","-1.60","3,513",
" 99/08/06","3,243,678","168,046,374","51.50","52.20","51.40","51.90","+0.50","1,494",
" 99/08/09","10,321,259","548,296,827","52.10","54.00","51.70","53.00","+1.10","4,706",
" 99/08/10","6,719,553","354,754,727","53.50","53.80","51.80","51.80","-1.20","2,945",
" 99/08/11","4,150,168","213,147,075","51.50","52.10","50.80","51.40","-0.40","2,135",
" 99/08/12","3,396,054","173,381,954","50.60","51.40","50.60","51.30","-0.10","1,427",
" 99/08/13","3,875,410","201,179,328","51.80","52.40","51.50","51.80","+0.50","1,684",
" 99/08/16","5,289,510","276,888,354","52.20","52.80","51.80","52.10","+0.30","2,345",
" 99/08/17","3,372,799","174,686,275","52.40","52.50","51.50","51.50","-0.60","1,574",
" 99/08/18","2,237,098","115,122,798","52.10","52.10","51.10","51.20","-0.30","1,220",
" 99/08/19","6,032,461","316,688,972","51.60","53.10","51.40","52.70","+1.50","2,976",
" 99/08/20","2,655,996","137,929,176","52.60","52.60","51.70","51.80","-0.90","1,230",
" 99/08/23","3,946,022","204,550,116","52.00","52.20","51.50","51.70","-0.10","1,530",
" 99/08/24","5,353,248","273,546,606","51.90","51.90","50.50","50.50","-1.20","2,382",
" 99/08/25","8,523,630","420,050,550","49.25","50.20","48.10","48.10","X0.00","3,631",
" 99/08/26","4,139,204","199,522,180","48.90","48.90","47.50","47.50","-0.60","2,095",
" 99/08/27","4,066,462","191,001,998","47.50","47.70","46.35","46.50","-1.00","2,032",
" 99/08/30","2,938,071","138,431,015","47.00","47.50","46.65","46.65","+0.15","1,371",
" 99/08/31","7,112,245","311,392,070","46.05","46.05","43.40","43.40","-3.25","3,197",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

