"105年12月 2328 廣宇             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/12/01","5,649,292","135,281,841","23.80","24.20","23.75","23.80","+0.15","2,471",
"105/12/02","4,646,022","109,411,960","23.65","23.70","23.40","23.60","-0.20","2,029",
"105/12/05","12,377,509","282,098,187","23.60","23.75","22.25","22.45","-1.15","5,583",
"105/12/06","19,166,764","450,717,382","22.85","24.15","22.75","24.05","+1.60","8,453",
"105/12/07","41,765,488","1,047,596,549","24.15","25.60","24.15","25.25","+1.20","16,564",
"105/12/08","20,017,912","504,297,912","25.50","25.85","24.70","24.80","-0.45","7,442",
"105/12/09","10,140,362","254,038,629","24.80","25.25","24.65","25.20","+0.40","4,136",
"105/12/12","31,573,107","821,083,769","25.60","26.65","25.40","25.60","+0.40","11,419",
"105/12/13","8,325,676","211,103,671","25.50","25.65","25.20","25.35","-0.25","3,639",
"105/12/14","12,356,671","318,545,059","25.85","26.30","25.40","25.45","+0.10","5,262",
"105/12/15","8,244,137","207,547,987","25.00","25.60","24.85","25.50","+0.05","3,636",
"105/12/16","9,491,295","242,846,080","25.65","26.00","25.10","25.15","-0.35","4,146",
"105/12/19","9,885,206","242,854,997","25.00","25.15","24.25","24.30","-0.85","4,497",
"105/12/20","4,934,768","121,125,081","24.50","24.70","24.40","24.45","+0.15","2,272",
"105/12/21","4,751,734","116,410,654","24.60","24.75","24.20","24.60","+0.15","2,013",
"105/12/22","6,685,533","163,796,213","24.90","24.90","24.05","24.05","-0.55","2,670",
"105/12/23","6,296,119","151,655,006","24.05","24.55","23.65","24.05"," 0.00","2,901",
"105/12/26","2,986,467","71,570,344","24.05","24.25","23.80","23.90","-0.15","1,433",
"105/12/27","6,813,489","163,634,099","24.00","24.40","23.75","23.75","-0.15","2,884",
"105/12/28","18,990,296","468,630,192","23.90","25.10","23.85","24.95","+1.20","7,878",
"105/12/29","6,241,433","154,886,483","24.70","25.05","24.65","24.70","-0.25","2,778",
"105/12/30","5,698,836","141,615,698","24.95","25.15","24.65","24.65","-0.05","2,313",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

