"8803る 2330 縩筿           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 88/03/01","23,602,186","2,071,071,587","88.00","88.50","87.00","87.50","-1.00","6,681",
" 88/03/02","24,741,633","2,103,003,374","86.50","86.50","84.00","85.00","-2.50","9,330",
" 88/03/03","19,281,412","1,647,157,242","85.00","86.00","84.50","86.00","+1.00","6,193",
" 88/03/04","24,966,346","2,128,644,659","86.00","86.50","84.50","84.50","-1.50","6,861",
" 88/03/05","15,715,950","1,336,229,570","85.00","86.00","84.50","85.50","+1.00","5,595",
" 88/03/06","20,976,066","1,822,463,817","86.50","88.00","86.00","86.50","+1.00","7,185",
" 88/03/08","14,464,000","1,260,264,000","87.00","88.00","86.00","88.00","+1.50","4,949",
" 88/03/09","27,667,727","2,455,376,084","88.50","89.50","87.50","88.00"," 0.00","9,795",
" 88/03/10","35,912,572","3,199,171,170","88.00","90.00","87.50","90.00","+2.00","11,869",
" 88/03/11","36,157,737","3,275,586,316","90.50","91.50","89.00","89.50","-0.50","11,993",
" 88/03/12","37,113,811","3,363,597,528","90.00","91.50","89.00","91.50","+2.00","12,076",
" 88/03/15","62,737,833","5,970,907,114","91.50","97.50","91.00","97.50","+6.00","19,122",
" 88/03/16","68,890,665","6,833,994,935","98.50","101.00","97.50","100.00","+2.50","20,679",
" 88/03/17","97,227,151","10,121,858,613","101.00","107.00","100.50","105.00","+5.00","28,549",
" 88/03/18","67,297,279","7,196,130,774","107.00","109.00","105.00","109.00","+4.00","19,401",
" 88/03/19","49,813,483","5,366,723,324","109.50","109.50","105.50","108.50","-0.50","15,814",
" 88/03/20","32,468,030","3,497,849,728","107.50","109.00","106.00","108.50"," 0.00","11,769",
" 88/03/22","32,941,000","3,590,965,500","108.50","111.00","107.00","109.50","+1.00","10,590",
" 88/03/23","60,265,791","6,441,181,914","110.00","111.00","105.00","105.00","-4.50","19,507",
" 88/03/24","38,368,322","3,974,221,927","102.00","105.00","102.00","104.00","-1.00","14,194",
" 88/03/25","25,304,384","2,640,348,024","104.50","105.50","103.00","104.50","+0.50","8,530",
" 88/03/26","38,803,042","4,109,469,882","106.00","107.00","104.50","107.00","+2.50","11,571",
" 88/03/29","25,515,231","2,694,052,982","107.50","107.50","104.00","104.50","-2.50","7,162",
" 88/03/30","20,668,237","2,171,863,165","105.50","106.00","104.00","105.00","+0.50","6,398",
" 88/03/31","18,496,116","1,920,035,162","105.00","105.00","103.00","104.00","-1.00","6,373",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

