"9506る 2344 地ü筿           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/06/01","9,224,431","97,799,706","10.55","10.75","10.50","10.50","+0.05","1,471",
" 95/06/02","8,651,287","90,762,661","10.60","10.70","10.35","10.40","-0.10","1,644",
" 95/06/05","11,009,233","112,388,253","10.40","10.45","10.00","10.00","-0.40","2,187",
" 95/06/06","12,427,391","123,391,472","9.80","10.10","9.70","9.91","-0.09","1,904",
" 95/06/07","6,043,230","59,508,931","9.90","9.99","9.75","9.80","-0.11","1,142",
" 95/06/08","13,646,767","128,441,102","9.80","9.85","9.12","9.12","-0.68","2,075",
" 95/06/09","15,071,301","139,281,979","9.30","9.60","9.09","9.50","+0.38","1,979",
" 95/06/12","9,238,962","84,978,678","9.30","9.40","9.00","9.16","-0.34","1,458",
" 95/06/13","13,885,206","125,110,497","9.05","9.13","8.90","8.90","-0.26","1,939",
" 95/06/14","11,413,787","103,017,337","8.91","9.16","8.91","9.05","+0.15","1,581",
" 95/06/15","6,247,245","57,097,123","9.19","9.30","9.03","9.03","-0.02","1,234",
" 95/06/16","8,006,565","74,547,698","9.30","9.38","9.24","9.33","+0.30","1,491",
" 95/06/19","5,376,331","50,444,054","9.38","9.45","9.33","9.36","+0.03","964",
" 95/06/20","10,140,226","92,640,588","9.35","9.35","9.00","9.05","-0.31","1,385",
" 95/06/21","5,713,952","51,929,606","9.20","9.25","9.01","9.02","-0.03","1,027",
" 95/06/22","10,284,319","95,526,122","9.20","9.35","9.15","9.29","+0.27","1,341",
" 95/06/23","12,819,659","120,123,519","9.25","9.50","9.12","9.40","+0.11","2,360",
" 95/06/26","5,390,037","50,752,337","9.40","9.49","9.33","9.37","-0.03","1,062",
" 95/06/27","9,334,266","89,164,824","9.40","9.65","9.38","9.60","+0.23","1,638",
" 95/06/28","4,477,239","42,116,317","9.45","9.50","9.35","9.43","-0.17","851",
" 95/06/29","6,817,476","64,589,208","9.43","9.54","9.43","9.46","+0.03","979",
" 95/06/30","10,369,110","99,356,768","9.63","9.65","9.50","9.58","+0.12","1,519",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

