"106年07月 2344 華邦電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/07/03","23,555,474","430,006,967","18.30","18.45","18.10","18.15","-0.10","4,792",
"106/07/04","15,984,842","291,053,335","18.15","18.40","18.10","18.10","-0.05","4,063",
"106/07/05","42,336,274","755,459,924","18.25","18.25","17.65","18.05","-0.05","9,251",
"106/07/06","45,506,501","830,959,530","18.15","18.45","18.15","18.15","+0.10","7,515",
"106/07/07","17,082,799","308,126,832","18.05","18.25","17.90","17.95","-0.20","4,414",
"106/07/10","24,090,145","437,958,829","18.30","18.35","18.00","18.00","+0.05","5,024",
"106/07/11","14,813,824","268,699,007","18.15","18.25","18.05","18.15","+0.15","3,119",
"106/07/12","15,485,189","281,592,203","18.20","18.30","18.10","18.20","+0.05","3,486",
"106/07/13","38,842,938","715,458,880","18.30","18.55","18.20","18.45","+0.25","7,088",
"106/07/14","76,153,013","1,428,173,176","18.90","19.05","18.40","18.40","-0.05","15,183",
"106/07/17","28,625,562","520,855,866","18.50","18.50","18.05","18.10","-0.30","6,356",
"106/07/18","25,730,924","468,968,614","18.15","18.40","18.10","18.20","+0.10","5,564",
"106/07/19","25,115,801","460,281,166","18.25","18.45","18.20","18.25","+0.05","6,152",
"106/07/20","16,174,825","295,928,648","18.35","18.40","18.25","18.25"," 0.00","3,090",
"106/07/21","30,880,296","570,018,127","18.30","18.55","18.25","18.55","+0.30","6,077",
"106/07/24","16,656,976","306,332,695","18.40","18.45","18.25","18.45","-0.10","3,346",
"106/07/25","43,937,779","824,517,337","18.60","18.90","18.60","18.80","+0.35","8,938",
"106/07/26","55,860,864","1,061,536,198","19.00","19.20","18.70","18.70","-0.10","10,771",
"106/07/27","26,492,168","496,041,022","18.85","18.95","18.55","18.80","+0.10","6,091",
"106/07/28","23,806,196","447,301,047","18.90","19.00","18.60","19.00","+0.20","4,760",
"106/07/31","74,128,758","1,352,128,864","18.70","18.70","18.05","18.25","-0.75","14,173",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

