"105年05月 2345 智邦             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/05/03","7,198,365","212,525,079","30.25","30.25","29.20","29.30","-0.95","3,152",
"105/05/04","11,183,498","324,347,812","28.75","29.65","28.30","29.00","-0.30","4,316",
"105/05/05","4,584,101","135,081,511","29.00","29.90","28.90","29.90","+0.90","2,195",
"105/05/06","13,439,630","418,760,694","29.90","31.90","29.60","31.35","+1.45","5,697",
"105/05/09","10,729,424","345,693,273","32.30","32.80","31.30","31.70","+0.35","5,180",
"105/05/10","6,554,412","209,289,835","31.50","32.50","31.25","31.90","+0.20","3,218",
"105/05/11","26,370,773","904,611,213","33.60","35.05","33.60","35.05","+3.15","10,063",
"105/05/12","32,971,144","1,196,505,115","35.60","37.15","35.60","36.50","+1.45","14,801",
"105/05/13","13,324,334","482,261,457","36.30","36.80","35.80","36.35","-0.15","6,531",
"105/05/16","22,219,820","846,010,680","36.60","39.50","36.45","39.00","+2.65","10,648",
"105/05/17","21,171,202","835,998,656","39.50","40.00","38.55","40.00","+1.00","10,036",
"105/05/18","16,009,351","634,047,143","39.70","40.25","38.90","39.85","-0.15","7,683",
"105/05/19","9,906,588","388,922,208","39.80","39.80","38.90","39.10","-0.75","4,928",
"105/05/20","10,469,988","410,969,063","39.40","39.85","38.60","39.55","+0.45","5,172",
"105/05/23","15,752,701","633,034,914","39.15","41.00","38.70","40.65","+1.10","6,796",
"105/05/24","12,715,944","508,505,734","40.30","40.35","39.65","40.00","-0.65","4,232",
"105/05/25","20,739,258","860,031,651","40.50","43.20","39.90","41.90","+1.90","8,690",
"105/05/26","13,562,563","563,476,083","41.70","42.10","41.05","41.10","-0.80","5,487",
"105/05/27","10,280,995","416,769,635","40.55","41.00","40.15","40.50","-0.60","4,785",
"105/05/30","17,784,656","765,401,977","40.60","43.75","40.60","43.35","+2.85","8,301",
"105/05/31","8,932,179","383,907,595","43.05","43.55","42.35","43.00","-0.35","4,426",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

