"9411る 2347 羛眏             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 94/11/01","1,056,122","42,956,170","40.65","41.00","40.60","40.60"," 0.00","401",
" 94/11/02","1,198,690","48,735,713","41.00","41.00","40.50","40.55","-0.05","416",
" 94/11/03","1,165,607","47,685,557","40.80","41.30","40.50","40.80","+0.25","522",
" 94/11/04","1,603,942","66,194,887","41.00","41.50","41.00","41.45","+0.65","731",
" 94/11/07","2,648,417","106,853,788","41.45","41.45","40.00","40.35","-1.10","956",
" 94/11/08","3,274,972","132,032,535","40.35","40.75","40.10","40.50","+0.15","1,019",
" 94/11/09","2,490,670","100,670,745","40.00","40.75","40.00","40.65","+0.15","1,199",
" 94/11/10","3,720,414","147,965,837","40.65","40.65","38.95","39.75","-0.90","1,753",
" 94/11/11","3,629,934","143,552,818","39.75","40.00","39.10","39.60","-0.15","1,784",
" 94/11/14","1,230,359","48,355,071","39.40","39.50","39.05","39.50","-0.10","707",
" 94/11/15","1,902,736","74,578,514","39.50","39.50","38.95","39.20","-0.30","746",
" 94/11/16","2,012,834","79,018,276","39.05","39.45","39.05","39.20"," 0.00","851",
" 94/11/17","1,687,461","65,512,729","39.25","39.35","38.50","38.60","-0.60","907",
" 94/11/18","3,184,716","123,756,590","38.70","39.30","38.50","38.70","+0.10","1,383",
" 94/11/21","1,542,016","59,956,311","38.70","39.05","38.70","39.00","+0.30","822",
" 94/11/22","1,475,368","57,488,470","39.10","39.10","38.80","39.00"," 0.00","818",
" 94/11/23","2,410,208","92,978,209","39.00","39.05","38.20","38.50","-0.50","1,138",
" 94/11/24","2,125,292","81,185,370","38.50","38.50","38.00","38.05","-0.45","1,008",
" 94/11/25","1,586,063","60,464,275","38.25","38.35","38.00","38.05"," 0.00","1,007",
" 94/11/28","1,489,906","57,192,734","38.25","38.80","38.10","38.55","+0.50","771",
" 94/11/29","3,020,974","117,559,982","38.75","39.10","38.70","38.80","+0.25","1,353",
" 94/11/30","2,866,148","112,412,806","39.10","39.60","38.95","39.50","+0.70","1,267",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

