"106年09月 2347 聯強             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/09/01","2,355,086","79,340,681","33.70","33.85","33.50","33.75","+0.05","1,127",
"106/09/04","1,266,038","42,569,316","33.70","33.75","33.50","33.70","-0.05","808",
"106/09/05","2,355,505","79,216,008","33.70","33.75","33.55","33.75","+0.05","1,187",
"106/09/06","2,708,954","90,982,398","33.75","33.75","33.45","33.55","-0.20","1,260",
"106/09/07","13,818,873","482,006,378","34.10","35.40","34.05","35.00","+1.45","5,176",
"106/09/08","12,950,804","460,871,905","35.15","36.00","34.80","36.00","+1.00","5,189",
"106/09/11","10,069,127","366,259,343","36.50","36.80","36.00","36.25","+0.25","3,889",
"106/09/12","4,931,085","177,108,981","36.30","36.40","35.65","36.00","-0.25","2,317",
"106/09/13","3,791,619","136,444,893","36.20","36.30","35.75","35.85","-0.15","1,759",
"106/09/14","4,217,001","150,825,526","35.70","35.95","35.65","35.70","-0.15","1,646",
"106/09/15","7,580,768","270,950,877","35.70","36.00","35.35","35.95","+0.25","2,442",
"106/09/18","8,664,336","316,985,976","36.20","37.20","36.00","36.80","+0.85","3,739",
"106/09/19","5,940,243","217,876,033","37.20","37.20","36.40","36.50","-0.30","2,579",
"106/09/20","5,103,195","185,459,206","36.50","36.55","36.10","36.30","-0.20","1,702",
"106/09/21","4,224,531","154,335,128","36.30","36.85","36.15","36.55","+0.25","1,664",
"106/09/22","5,440,351","197,465,213","36.60","36.70","36.10","36.20","-0.35","2,415",
"106/09/25","7,718,998","271,661,230","36.30","36.30","34.70","35.00","-1.20","4,040",
"106/09/26","8,384,421","301,275,821","35.00","36.40","35.00","36.00","+1.00","2,874",
"106/09/27","6,370,178","230,748,094","35.80","36.50","35.60","36.25","+0.25","2,400",
"106/09/28","3,808,454","138,194,076","36.00","36.45","36.00","36.30","+0.05","1,579",
"106/09/29","4,354,780","158,203,872","36.10","36.45","36.10","36.40","+0.10","1,477",
"106/09/30","1,181,329","42,930,446","36.30","36.50","36.20","36.40"," 0.00","761",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

