"9508る 2352 ㄎ笷           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 95/08/01","5,203,736","92,817,556","17.80","18.00","17.75","17.80","+0.05","1,374",
" 95/08/02","8,669,323","156,206,471","17.80","18.20","17.75","18.05","+0.25","1,797",
" 95/08/03","8,160,074","148,453,082","18.15","18.30","18.10","18.10","+0.05","1,771",
" 95/08/04","7,019,082","126,150,192","18.20","18.25","17.80","17.85","-0.25","1,596",
" 95/08/07","6,302,732","112,668,065","17.80","18.00","17.80","17.85"," 0.00","1,116",
" 95/08/08","4,341,539","78,156,352","18.00","18.10","17.90","18.05","+0.20","972",
" 95/08/09","15,929,391","290,991,270","18.05","18.45","18.00","18.40","+0.35","2,913",
" 95/08/10","13,400,102","247,318,610","18.40","18.65","18.25","18.50","+0.10","2,652",
" 95/08/11","48,933,011","949,063,324","18.50","19.75","18.30","19.75","+1.25","8,583",
" 95/08/14","55,934,676","1,154,921,963","20.20","21.00","20.10","20.80","+1.05","13,036",
" 95/08/15","40,129,658","840,153,447","20.90","21.35","20.55","21.35","+0.55","8,315",
" 95/08/16","25,621,460","545,363,441","21.80","21.80","20.75","20.90","-0.45","6,962",
" 95/08/17","23,001,031","486,539,003","21.20","21.45","20.90","20.95","+0.05","4,694",
" 95/08/18","19,663,694","405,996,128","20.80","20.95","20.35","20.95"," 0.00","3,983",
" 95/08/21","22,883,426","460,179,694","20.90","20.90","19.55","19.55","-1.40","5,037",
" 95/08/22","18,411,521","356,764,892","19.55","19.70","19.20","19.50","-0.05","3,502",
" 95/08/23","19,007,819","363,697,653","19.50","19.60","18.80","19.05","-0.45","3,701",
" 95/08/24","34,308,668","686,829,294","19.20","20.35","19.10","20.35","+1.30","8,023",
" 95/08/25","30,310,185","589,973,307","20.00","20.15","18.95","18.95","-1.40","8,056",
" 95/08/28","21,715,770","393,784,438","18.40","18.60","17.80","18.10","-0.85","5,430",
" 95/08/29","53,345,121","912,091,960","17.70","18.00","16.85","16.85","-1.25","11,980",
" 95/08/30","48,964,525","829,831,626","16.55","17.25","16.55","16.90","+0.05","11,587",
" 95/08/31","23,247,381","397,799,828","17.00","17.30","16.80","17.05","+0.15","5,366",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

