"107年05月 2352 佳世達           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/05/02","6,348,092","128,758,798","20.35","20.35","20.20","20.30","-0.15","1,848",
"107/05/03","5,480,493","110,615,498","20.25","20.40","20.10","20.10","-0.20","1,776",
"107/05/04","4,064,065","82,054,900","20.10","20.35","20.10","20.15","+0.05","1,366",
"107/05/07","5,272,657","106,877,110","20.25","20.40","20.20","20.20","+0.05","1,417",
"107/05/08","8,289,011","170,097,717","20.25","20.75","20.20","20.55","+0.35","2,492",
"107/05/09","7,148,306","147,472,396","20.65","20.75","20.55","20.60","+0.05","2,233",
"107/05/10","7,487,576","155,056,277","20.75","20.85","20.60","20.65","+0.05","2,306",
"107/05/11","6,394,878","132,043,639","20.70","20.80","20.50","20.55","-0.10","2,331",
"107/05/14","4,879,067","100,513,764","20.70","20.75","20.55","20.55"," 0.00","1,480",
"107/05/15","5,655,617","117,248,978","20.65","20.85","20.60","20.70","+0.15","1,743",
"107/05/16","5,174,768","107,233,108","20.75","20.85","20.65","20.65","-0.05","1,872",
"107/05/17","5,761,515","119,936,249","20.70","21.00","20.65","20.75","+0.10","1,713",
"107/05/18","10,020,866","209,819,410","20.80","21.15","20.70","20.85","+0.10","2,734",
"107/05/21","7,727,738","163,508,298","21.00","21.40","20.85","21.05","+0.20","2,382",
"107/05/22","4,623,747","97,118,424","21.20","21.25","20.80","20.85","-0.20","1,454",
"107/05/23","3,233,126","67,464,659","21.00","21.00","20.80","20.85"," 0.00","1,000",
"107/05/24","3,514,543","73,448,801","21.05","21.05","20.85","20.90","+0.05","1,007",
"107/05/25","4,412,325","92,077,234","20.85","20.95","20.80","20.80","-0.10","1,231",
"107/05/28","5,230,805","109,538,967","20.80","21.05","20.80","20.95","+0.15","1,550",
"107/05/29","4,368,264","91,720,794","21.05","21.10","20.90","21.00","+0.05","1,361",
"107/05/30","4,095,296","85,257,932","20.85","20.95","20.75","20.75","-0.25","1,377",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

