"101年09月 2353 宏碁             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"101/09/03","10,122,204","268,159,467","26.55","26.75","26.35","26.40","-0.05","3,329",
"101/09/04","7,747,477","205,226,916","26.60","26.70","26.40","26.40"," 0.00","2,685",
"101/09/05","14,688,969","386,474,211","26.40","26.65","26.10","26.10","-0.30","4,707",
"101/09/06","13,138,161","344,097,678","26.10","26.40","26.10","26.10"," 0.00","3,600",
"101/09/07","13,319,500","351,069,333","26.50","26.55","26.20","26.20","+0.10","3,447",
"101/09/10","9,362,792","245,456,027","26.20","26.35","26.15","26.20"," 0.00","2,892",
"101/09/11","26,690,699","716,017,428","26.60","27.10","26.55","26.65","+0.45","8,399",
"101/09/12","21,976,622","592,821,602","26.85","27.10","26.70","26.95","+0.30","7,259",
"101/09/13","20,589,700","562,479,052","27.10","27.50","27.10","27.20","+0.25","6,726",
"101/09/14","64,384,440","1,825,982,563","27.60","29.00","27.50","28.80","+1.60","19,737",
"101/09/17","61,847,437","1,835,252,612","29.10","30.25","28.95","30.10","+1.30","20,358",
"101/09/18","37,058,610","1,111,435,771","30.10","30.25","29.55","30.15","+0.05","11,942",
"101/09/19","25,980,540","783,116,150","30.35","30.55","29.75","30.00","-0.15","8,631",
"101/09/20","27,567,481","816,084,215","30.05","30.10","29.25","29.75","-0.25","9,728",
"101/09/21","17,365,510","513,207,834","29.75","29.85","29.35","29.50","-0.25","5,650",
"101/09/24","35,439,605","1,058,776,013","29.35","30.40","29.00","30.25","+0.75","11,256",
"101/09/25","25,581,984","769,555,799","30.25","30.55","29.55","29.55","-0.70","8,616",
"101/09/26","37,172,478","1,075,494,739","29.30","29.55","28.50","28.50","-1.05","12,774",
"101/09/27","24,382,198","691,464,370","28.40","28.65","28.10","28.25","-0.25","8,453",
"101/09/28","21,896,732","626,555,878","28.30","28.85","28.15","28.80","+0.55","7,881",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

