"9102る 2354 翬非             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 91/02/01","4,772,101","209,609,800","43.30","44.70","42.30","44.70","+2.90","1,456",
" 91/02/04","7,028,763","319,015,028","45.70","46.50","44.20","44.70"," 0.00","2,299",
" 91/02/05","3,391,170","151,096,159","44.70","45.50","42.60","43.20","-1.50","1,351",
" 91/02/06","4,182,673","186,459,122","44.00","45.80","43.70","43.90","+0.70","1,620",
" 91/02/18","2,582,000","114,484,900","45.30","45.30","43.00","43.50","-0.40","1,037",
" 91/02/19","1,908,204","82,154,428","43.90","44.00","42.00","42.20","-1.30","824",
" 91/02/20","1,711,151","70,637,738","42.20","42.80","39.50","40.60","-1.60","754",
" 91/02/21","1,141,000","45,622,300","41.00","41.20","38.80","39.60","-1.00","531",
" 91/02/22","1,372,171","52,567,537","39.30","39.60","37.40","38.70","-0.90","575",
" 91/02/25","1,276,000","49,815,100","39.00","39.60","38.50","38.70"," 0.00","551",
" 91/02/26","1,223,170","48,045,544","39.60","40.00","38.10","38.30","-0.40","551",
" 91/02/27","1,533,235","60,873,853","39.20","40.50","38.80","40.50","+2.20","612",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

