"108年03月 2354 鴻準             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/03/04","3,874,997","240,127,796","62.10","62.50","61.50","62.20","-0.90","2,415",
"108/03/05","1,302,682","80,547,398","61.60","62.10","61.60","61.90","-0.30","932",
"108/03/06","1,888,880","117,176,821","61.80","62.30","61.80","62.20","+0.30","1,216",
"108/03/07","1,902,119","117,380,034","62.00","62.00","61.50","61.60","-0.60","1,072",
"108/03/08","1,561,751","95,384,523","61.30","61.80","60.90","61.00","-0.60","971",
"108/03/11","1,853,662","112,953,173","60.80","61.30","60.50","61.10","+0.10","1,115",
"108/03/12","2,312,170","142,117,102","61.20","61.80","61.20","61.40","+0.30","1,375",
"108/03/13","1,971,349","121,544,556","61.60","62.20","61.20","61.70","+0.30","1,342",
"108/03/14","1,668,654","103,479,703","62.00","62.40","61.70","62.00","+0.30","1,150",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

