"10110る 2355 穛腜             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/10/01","1,246,465","42,904,697","34.65","34.70","34.20","34.20","-0.45","701",
"101/10/02","1,340,652","45,989,233","34.30","34.55","34.10","34.55","+0.35","664",
"101/10/03","3,220,779","111,406,787","34.70","34.90","34.10","34.25","-0.30","1,160",
"101/10/04","9,944,604","324,864,600","34.25","34.25","31.95","32.55","-1.70","3,943",
"101/10/05","5,318,830","174,866,271","32.40","33.20","32.20","33.10","+0.55","1,902",
"101/10/08","1,951,701","63,703,366","33.10","33.10","32.25","32.70","-0.40","734",
"101/10/09","2,332,151","74,877,674","32.40","32.70","31.90","32.00","-0.70","1,007",
"101/10/11","3,700,680","118,332,842","31.20","32.25","31.20","32.10","+0.10","1,316",
"101/10/12","3,054,446","98,313,391","32.20","32.55","32.00","32.20","+0.10","1,082",
"101/10/15","3,766,557","122,582,731","32.20","32.70","32.10","32.60","+0.40","1,259",
"101/10/16","1,636,900","53,449,549","32.60","32.90","32.40","32.60"," 0.00","813",
"101/10/17","1,726,650","56,107,774","32.90","32.90","32.25","32.30","-0.30","765",
"101/10/18","1,405,593","45,475,389","32.70","32.70","32.10","32.25","-0.05","647",
"101/10/19","2,807,790","89,829,656","32.60","32.60","31.70","31.85","-0.40","980",
"101/10/22","4,674,479","144,854,486","31.50","31.60","30.45","31.45","-0.40","1,435",
"101/10/23","2,247,179","70,636,172","31.70","31.70","31.20","31.30","-0.15","793",
"101/10/24","2,625,650","81,835,793","31.00","31.35","30.90","31.25","-0.05","705",
"101/10/25","2,795,931","87,915,582","31.60","31.60","31.20","31.40","+0.15","1,164",
"101/10/26","2,433,819","74,831,987","31.50","31.50","29.90","30.15","-1.25","951",
"101/10/29","3,440,603","102,422,140","30.20","30.40","29.10","29.75","-0.40","1,091",
"101/10/30","1,807,495","54,229,097","30.05","30.45","29.65","29.70","-0.05","825",
"101/10/31","6,130,304","192,343,576","30.65","31.75","30.50","31.75","+2.05","2,239",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

