"106年10月 2355 敬鵬             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/10/02","1,749,925","102,970,486","58.80","59.70","58.40","59.20","+0.90","1,186",
"106/10/03","5,458,457","329,996,661","59.60","61.10","59.50","60.10","+0.90","3,202",
"106/10/05","2,879,854","174,773,774","60.60","61.20","60.10","60.40","+0.30","1,710",
"106/10/06","1,583,391","95,016,776","60.80","60.90","59.60","60.00","-0.40","992",
"106/10/11","2,404,253","145,458,380","60.50","61.30","59.80","60.00"," 0.00","1,394",
"106/10/12","1,957,212","118,443,680","60.30","61.00","60.10","60.30","+0.30","1,012",
"106/10/13","2,253,986","137,016,150","60.30","61.30","60.10","60.70","+0.40","1,360",
"106/10/16","6,472,522","401,938,499","61.50","62.80","61.00","62.00","+1.30","3,542",
"106/10/17","1,999,142","123,629,459","62.40","62.40","61.30","61.30","-0.70","1,285",
"106/10/18","1,864,592","114,440,705","62.00","62.10","61.00","61.50","+0.20","1,213",
"106/10/19","2,627,414","163,401,900","62.00","62.50","61.60","62.10","+0.60","1,487",
"106/10/20","1,805,212","110,863,411","62.00","62.00","61.10","61.20","-0.90","1,001",
"106/10/23","1,459,452","88,942,579","61.60","61.80","60.50","60.70","-0.50","856",
"106/10/24","2,522,181","155,740,722","60.70","62.30","60.70","62.10","+1.40","1,306",
"106/10/25","3,955,900","248,728,648","62.90","63.50","62.20","62.70","+0.60","2,187",
"106/10/26","1,482,702","92,899,574","63.00","63.00","62.00","62.80","+0.10","846",
"106/10/27","3,374,209","213,110,014","63.40","63.90","62.10","62.20","-0.60","1,638",
"106/10/30","1,366,204","85,552,387","63.40","63.50","62.20","62.40","+0.20","766",
"106/10/31","1,881,046","118,616,585","62.70","63.50","62.60","62.90","+0.50","893",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

