"9902る 2356 璣穨笷           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/02/01","10,254,087","184,448,741","18.35","18.40","17.80","17.85","-0.50","2,806",
" 99/02/02","9,759,015","174,613,508","18.30","18.30","17.60","17.65","-0.20","2,774",
" 99/02/03","7,127,232","128,521,676","18.00","18.20","17.90","17.90","+0.25","2,069",
" 99/02/04","3,207,534","57,708,369","18.00","18.10","17.90","17.95","+0.05","1,221",
" 99/02/05","12,387,163","214,105,259","17.60","17.70","16.90","17.00","-0.95","3,832",
" 99/02/06","4,257,179","72,105,550","17.10","17.30","16.50","17.05","+0.05","1,691",
" 99/02/08","4,713,468","81,412,231","17.25","17.45","17.10","17.45","+0.40","1,682",
" 99/02/09","4,985,887","87,433,237","17.40","17.80","17.20","17.65","+0.20","1,723",
" 99/02/10","5,818,497","103,489,931","17.85","17.90","17.70","17.70","+0.05","1,760",
" 99/02/22","5,583,051","100,729,844","18.20","18.20","17.90","18.00","+0.30","2,240",
" 99/02/23","3,776,589","67,433,724","17.95","18.00","17.70","17.90","-0.10","1,373",
" 99/02/24","3,424,397","60,774,953","17.70","17.85","17.65","17.75","-0.15","1,323",
" 99/02/25","6,903,407","122,150,250","17.75","17.90","17.55","17.60","-0.15","2,327",
" 99/02/26","3,616,013","63,527,666","17.60","17.80","17.45","17.55","-0.05","1,403",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

