"107年03月 2356 英業達           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/03/01","8,715,368","203,522,626","23.20","23.60","23.20","23.35"," 0.00","4,008",
"107/03/02","8,558,719","197,810,800","23.10","23.35","23.00","23.10","-0.25","2,952",
"107/03/05","11,062,961","253,185,731","23.15","23.20","22.80","22.85","-0.25","4,517",
"107/03/06","4,864,662","112,155,136","23.10","23.10","22.95","23.00","+0.15","1,251",
"107/03/07","5,090,738","116,873,824","22.95","23.10","22.85","22.90","-0.10","1,768",
"107/03/08","6,611,062","151,972,405","23.00","23.20","22.85","22.90"," 0.00","2,092",
"107/03/09","6,728,597","154,859,381","22.90","23.10","22.80","23.10","+0.20","1,841",
"107/03/12","10,152,126","233,549,474","23.10","23.15","22.95","22.95","-0.15","3,278",
"107/03/13","6,077,999","139,959,610","22.90","23.20","22.90","23.15","+0.20","2,124",
"107/03/14","4,601,681","105,973,455","23.00","23.10","22.90","23.05","-0.10","1,792",
"107/03/15","3,112,672","71,687,826","23.00","23.10","22.95","23.05"," 0.00","1,189",
"107/03/16","12,182,091","279,626,329","23.10","23.15","22.80","23.05"," 0.00","4,381",
"107/03/19","3,891,111","89,563,303","23.05","23.15","22.90","23.10","+0.05","1,235",
"107/03/20","8,749,287","202,918,301","22.95","23.35","22.90","23.30","+0.20","2,781",
"107/03/21","5,990,317","139,424,678","23.30","23.40","23.10","23.35","+0.05","2,601",
"107/03/22","8,916,742","208,487,826","23.35","23.55","23.25","23.40","+0.05","3,023",
"107/03/23","12,881,817","296,950,816","23.00","23.35","22.65","23.05","-0.35","4,045",
"107/03/26","5,826,531","134,114,077","22.90","23.25","22.85","23.15","+0.10","2,018",
"107/03/27","6,829,059","160,146,260","23.50","23.60","23.35","23.35","+0.20","2,663",
"107/03/28","10,762,582","248,657,201","23.20","23.30","22.95","23.30","-0.05","3,193",
"107/03/29","12,766,983","295,055,995","23.10","23.25","23.00","23.10","-0.20","3,764",
"107/03/30","6,305,083","145,701,706","23.20","23.25","23.05","23.05","-0.05","2,864",
"107/03/31","2,054,439","47,636,248","23.10","23.25","23.10","23.15","+0.10","1,197",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

