"9410る 2357 地河             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 94/10/03","16,720,818","1,496,801,104","89.00","89.90","88.80","89.70","+0.70","5,250",
" 94/10/04","12,914,356","1,167,788,195","90.00","90.90","90.00","90.00","+0.30","4,434",
" 94/10/05","25,259,305","2,323,091,871","89.70","92.80","89.50","91.80","+1.80","8,214",
" 94/10/06","24,498,732","2,267,387,105","91.70","94.50","91.00","94.10","+2.30","8,259",
" 94/10/07","21,754,187","2,043,968,338","93.90","94.70","92.90","94.00","-0.10","7,036",
" 94/10/11","7,795,191","726,876,896","94.00","94.20","92.50","92.60","-1.40","3,421",
" 94/10/12","20,478,056","1,890,336,595","92.50","94.10","90.70","92.60"," 0.00","6,181",
" 94/10/13","14,413,461","1,307,920,481","92.10","92.20","90.00","90.20","-2.40","5,028",
" 94/10/14","6,698,433","606,664,969","90.50","91.50","90.00","90.10","-0.10","2,798",
" 94/10/17","10,185,524","903,459,260","91.00","91.10","87.00","87.00","-3.10","3,750",
" 94/10/18","8,775,013","771,686,660","87.70","88.80","87.00","88.00","+1.00","3,230",
" 94/10/19","11,180,809","962,607,870","87.00","87.10","85.00","85.00","-3.00","4,048",
" 94/10/20","13,913,406","1,204,287,366","85.30","87.80","85.30","87.80","+2.80","4,529",
" 94/10/21","10,636,455","939,430,169","86.80","89.10","86.50","87.70","-0.10","3,866",
" 94/10/24","9,603,542","853,195,531","88.00","89.40","88.00","88.00","+0.30","3,512",
" 94/10/25","13,397,942","1,209,879,470","90.00","91.30","89.00","89.00","+1.00","5,153",
" 94/10/26","8,463,766","746,737,750","88.50","89.00","87.40","88.50","-0.50","3,465",
" 94/10/27","6,074,265","537,043,107","87.70","89.50","87.50","87.50","-1.00","2,765",
" 94/10/28","11,092,854","962,383,513","86.90","87.50","86.30","86.80","-0.70","3,237",
" 94/10/31","11,269,350","987,217,790","88.00","88.40","86.70","87.80","+1.00","3,887",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

