"106年08月 2357 華碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/08/01","1,441,332","408,088,774","282.00","284.00","282.00","283.00","+2.00","927",
"106/08/02","1,222,197","347,024,837","284.00","285.00","283.00","284.00","+1.00","1,064",
"106/08/03","1,468,908","412,807,556","280.00","282.50","280.00","281.50","-2.50","873",
"106/08/04","2,327,035","654,083,335","281.00","282.50","280.50","280.50","-1.00","1,340",
"106/08/07","3,453,223","967,121,521","278.50","281.50","278.50","280.50"," 0.00","1,979",
"106/08/08","5,124,285","1,359,788,525","268.00","268.00","263.00","263.00","X0.00","2,353",
"106/08/09","1,724,482","458,003,212","265.00","267.00","264.00","265.50","+2.50","1,231",
"106/08/10","1,871,869","492,321,547","265.00","265.50","262.00","263.00","-2.50","1,160",
"106/08/11","2,184,221","568,245,123","262.00","263.00","258.00","258.00","-5.00","1,400",
"106/08/14","4,340,914","1,070,340,672","243.50","251.00","243.50","246.00","-12.00","2,811",
"106/08/15","2,454,057","606,260,592","249.00","252.00","245.00","245.00","-1.00","1,556",
"106/08/16","1,762,839","430,770,555","245.00","247.00","242.50","244.00","-1.00","1,402",
"106/08/17","1,435,830","350,566,350","244.00","247.00","242.50","243.50","-0.50","1,318",
"106/08/18","1,802,322","438,638,212","243.50","246.00","241.50","245.50","+2.00","1,353",
"106/08/21","700,175","170,344,097","245.00","245.00","242.50","242.50","-3.00","698",
"106/08/22","1,055,353","256,071,279","241.50","245.00","241.50","242.00","-0.50","936",
"106/08/23","996,448","242,608,570","243.00","244.00","242.50","243.50","+1.50","912",
"106/08/24","1,522,149","368,143,558","242.00","244.00","241.00","241.00","-2.50","1,356",
"106/08/25","982,835","238,144,405","241.00","243.50","241.00","243.00","+2.00","937",
"106/08/28","2,963,984","739,531,100","245.00","252.00","244.50","249.00","+6.00","2,111",
"106/08/29","1,714,365","424,011,804","252.00","252.00","245.50","246.50","-2.50","1,313",
"106/08/30","1,057,351","261,737,697","246.50","249.50","246.50","247.00","+0.50","875",
"106/08/31","1,415,849","352,881,569","247.50","250.00","247.50","250.00","+3.00","895",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

