"9204る 2360 璓璟             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/04/01","323,171","5,906,794","18.00","18.50","18.00","18.30","+0.10","128",
" 92/04/02","270,000","4,949,600","18.40","18.40","18.20","18.40","+0.10","124",
" 92/04/03","587,840","11,022,072","18.80","19.00","18.50","18.50","+0.10","207",
" 92/04/04","793,828","14,968,834","18.50","19.20","18.50","19.10","+0.60","245",
" 92/04/07","1,895,406","36,786,114","19.10","19.80","19.00","19.80","+0.70","514",
" 92/04/08","1,096,200","21,459,938","19.80","19.80","19.30","19.50","-0.30","258",
" 92/04/09","264,267","5,090,578","19.50","19.50","19.20","19.30","-0.20","98",
" 92/04/10","607,559","11,754,532","19.20","19.50","19.20","19.30"," 0.00","195",
" 92/04/11","677,778","13,179,636","19.40","19.60","19.30","19.30"," 0.00","219",
" 92/04/14","295,400","5,682,678","19.50","19.50","19.10","19.20","-0.10","116",
" 92/04/15","645,710","12,593,359","19.30","19.60","19.30","19.60","+0.40","252",
" 92/04/16","2,334,560","46,889,218","19.80","20.50","19.70","20.20","+0.60","753",
" 92/04/17","911,151","18,133,577","20.10","20.10","19.80","19.80","-0.40","295",
" 92/04/18","6,246,697","130,584,829","20.20","21.10","20.10","21.10","+1.30","1,372",
" 92/04/21","7,387,188","159,538,209","21.20","22.10","21.10","21.90","+0.80","1,665",
" 92/04/22","2,365,945","50,303,252","21.80","21.90","20.90","21.10","-0.80","722",
" 92/04/23","3,377,521","71,466,823","21.60","21.70","20.80","20.80","-0.30","898",
" 92/04/24","3,112,239","61,353,200","20.80","20.90","19.40","19.70","-1.10","854",
" 92/04/25","2,373,666","45,309,352","19.50","19.70","18.60","18.60","-1.10","631",
" 92/04/28","1,765,502","31,246,086","18.40","18.40","17.30","18.00","-0.60","613",
" 92/04/29","1,683,227","30,905,982","18.40","18.70","18.00","18.30","+0.30","451",
" 92/04/30","1,419,070","25,940,174","18.50","18.70","17.80","18.60","+0.30","394",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

