"107年11月 2360 致茂             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/11/01","6,719,353","761,722,095","108.00","117.50","107.00","116.00","+7.50","4,629",
"107/11/02","5,745,575","701,512,710","117.00","125.00","117.00","124.00","+8.00","3,554",
"107/11/05","3,716,351","462,563,726","121.00","127.00","121.00","125.00","+1.00","2,653",
"107/11/06","4,147,590","512,887,413","126.00","129.00","117.00","119.00","-6.00","2,798",
"107/11/07","2,585,906","319,813,438","120.00","125.50","120.00","123.50","+4.50","1,872",
"107/11/08","4,425,570","566,001,680","125.50","132.00","124.50","125.00","+1.50","3,206",
"107/11/09","2,345,191","284,040,111","123.50","123.50","119.50","122.00","-3.00","1,886",
"107/11/12","1,528,101","189,690,923","120.50","126.50","120.00","123.00","+1.00","1,223",
"107/11/13","3,504,127","392,063,859","114.00","115.00","111.00","111.50","-11.50","2,444",
"107/11/14","3,495,270","384,270,470","112.50","114.00","107.50","109.00","-2.50","2,676",
"107/11/15","1,923,630","210,379,300","110.00","111.50","107.50","108.00","-1.00","1,577",
"107/11/16","2,252,588","244,328,207","109.00","110.50","105.50","107.00","-1.00","1,699",
"107/11/19","2,551,491","280,260,246","107.50","112.50","105.50","111.00","+4.00","2,076",
"107/11/20","4,476,276","511,481,240","111.00","116.00","109.00","115.50","+4.50","3,398",
"107/11/21","2,526,260","287,549,400","113.00","115.50","112.00","115.00","-0.50","2,034",
"107/11/22","2,382,469","277,934,935","116.50","118.50","114.50","115.00"," 0.00","1,984",
"107/11/23","2,190,500","252,042,500","116.00","117.50","112.00","112.00","-3.00","1,683",
"107/11/26","1,296,306","148,566,884","114.50","116.00","113.00","114.50","+2.50","1,004",
"107/11/27","2,507,504","291,294,968","115.00","118.00","112.00","118.00","+3.50","1,620",
"107/11/28","2,037,117","246,124,774","118.00","123.00","118.00","122.50","+4.50","1,532",
"107/11/29","2,828,295","354,381,785","125.50","128.00","122.50","124.00","+1.50","2,073",
"107/11/30","2,473,417","300,494,540","123.50","125.50","119.00","119.00","-5.00","1,718",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

