"93年08月 2362 藍天             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 93/08/02","1,278,648","14,769,529","11.85","11.85","11.35","11.40","-0.45","384",
" 93/08/03","753,510","8,608,232","11.40","11.55","11.30","11.30","-0.10","244",
" 93/08/04","1,026,000","11,476,500","11.10","11.30","11.10","11.15","-0.15","226",
" 93/08/05","1,520,528","17,279,488","11.20","11.70","11.10","11.65","+0.50","426",
" 93/08/06","3,745,498","44,831,245","11.75","12.20","11.55","11.85","+0.20","1,042",
" 93/08/09","3,163,618","38,476,063","11.80","12.50","11.65","12.40","+0.55","920",
" 93/08/10","1,743,593","21,246,856","12.40","12.40","12.05","12.05","-0.35","635",
" 93/08/11","3,098,839","37,713,235","12.15","12.35","12.05","12.30","+0.25","623",
" 93/08/12","4,976,097","61,312,127","12.30","12.55","12.10","12.10","-0.20","965",
" 93/08/13","2,514,957","29,926,750","12.00","12.10","11.80","11.80","-0.30","662",
" 93/08/16","1,317,659","15,401,404","11.80","11.90","11.50","11.50","-0.30","423",
" 93/08/17","1,974,393","22,651,246","11.60","11.70","11.30","11.30","-0.20","395",
" 93/08/18","2,832,447","31,083,413","11.35","11.40","10.60","10.95","-0.35","662",
" 93/08/19","2,689,774","30,525,643","11.05","11.55","11.05","11.55","+0.60","703",
" 93/08/20","4,198,006","49,844,546","11.50","12.30","11.50","12.10","+0.55","1,104",
" 93/08/23","3,994,008","48,569,541","12.10","12.30","11.90","12.15","+0.05","950",
" 93/08/26","7,405,011","92,645,178","12.10","12.80","12.10","12.80","+0.65","1,340",
" 93/08/27","10,693,889","137,721,506","12.80","13.10","12.60","12.80"," 0.00","2,070",
" 93/08/30","2,895,842","36,216,539","12.80","12.80","12.40","12.40","-0.40","682",
" 93/08/31","2,106,643","25,980,746","12.40","12.55","12.10","12.15","-0.25","563",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

