"9912る 2371              らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/12/01","79,210,679","604,945,445","7.35","7.78","7.31","7.78","+0.50","9,987",
" 99/12/02","58,594,092","450,983,917","7.78","7.85","7.56","7.56","-0.22","8,329",
" 99/12/03","26,636,564","202,219,687","7.56","7.64","7.53","7.57","+0.01","3,330",
" 99/12/06","36,547,350","284,015,050","7.68","7.86","7.61","7.73","+0.16","5,901",
" 99/12/07","20,981,510","160,644,742","7.75","7.75","7.62","7.66","-0.07","2,751",
" 99/12/08","19,643,281","149,787,725","7.66","7.69","7.60","7.60","-0.06","2,909",
" 99/12/09","26,230,261","198,117,153","7.62","7.68","7.52","7.54","-0.06","3,924",
" 99/12/10","25,371,430","189,811,096","7.50","7.58","7.43","7.49","-0.05","3,184",
" 99/12/13","13,551,936","102,010,303","7.50","7.58","7.50","7.50","+0.01","2,117",
" 99/12/14","17,655,521","133,752,502","7.51","7.68","7.50","7.50"," 0.00","3,065",
" 99/12/15","20,691,204","155,770,908","7.59","7.59","7.49","7.53","+0.03","3,147",
" 99/12/16","25,735,810","196,710,396","7.56","7.71","7.49","7.61","+0.08","4,662",
" 99/12/17","21,168,875","161,821,325","7.62","7.74","7.61","7.63","+0.02","3,065",
" 99/12/20","18,056,599","136,535,169","7.69","7.69","7.50","7.50","-0.13","2,653",
" 99/12/21","10,274,116","77,432,946","7.54","7.58","7.51","7.54","+0.04","1,649",
" 99/12/22","17,736,682","133,614,070","7.51","7.60","7.51","7.53","-0.01","2,674",
" 99/12/23","16,273,971","123,185,192","7.53","7.65","7.52","7.53"," 0.00","2,769",
" 99/12/24","11,501,818","86,624,663","7.58","7.58","7.51","7.52","-0.01","1,715",
" 99/12/27","39,447,255","304,137,358","7.52","7.82","7.50","7.69","+0.17","6,008",
" 99/12/28","16,490,633","125,929,058","7.71","7.72","7.59","7.62","-0.07","2,474",
" 99/12/29","23,335,611","176,801,128","7.60","7.66","7.54","7.54","-0.08","3,128",
" 99/12/30","13,883,168","105,398,478","7.57","7.65","7.55","7.61","+0.07","2,282",
" 99/12/31","79,515,305","630,410,861","7.72","8.10","7.66","7.88","+0.27","10,813",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

