"105年08月 2371 大同             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/08/01","16,729,147","92,770,054","5.35","5.65","5.34","5.64","+0.29","2,584",
"105/08/02","6,316,577","35,451,205","5.63","5.68","5.56","5.57","-0.07","1,225",
"105/08/03","4,130,658","22,672,368","5.52","5.52","5.45","5.50","-0.07","777",
"105/08/04","4,173,146","22,961,698","5.52","5.54","5.46","5.52","+0.02","679",
"105/08/05","2,728,684","14,999,647","5.47","5.52","5.47","5.50","-0.02","505",
"105/08/08","2,690,218","14,802,039","5.53","5.54","5.47","5.48","-0.02","496",
"105/08/09","3,816,485","20,640,519","5.48","5.48","5.36","5.38","-0.10","876",
"105/08/10","4,009,560","21,478,734","5.37","5.41","5.32","5.35","-0.03","741",
"105/08/11","5,225,061","27,788,016","5.34","5.40","5.25","5.34","-0.01","703",
"105/08/12","3,029,429","16,099,772","5.35","5.37","5.28","5.28","-0.06","573",
"105/08/15","2,358,323","12,478,868","5.30","5.33","5.27","5.28"," 0.00","493",
"105/08/16","1,816,315","9,596,283","5.29","5.31","5.26","5.30","+0.02","430",
"105/08/17","2,680,115","14,254,686","5.32","5.36","5.27","5.30"," 0.00","864",
"105/08/18","1,483,590","7,881,425","5.31","5.34","5.29","5.31","+0.01","379",
"105/08/19","4,394,999","23,617,846","5.34","5.42","5.33","5.37","+0.06","905",
"105/08/22","2,852,362","15,157,914","5.36","5.37","5.29","5.31","-0.06","624",
"105/08/23","4,438,599","23,711,742","5.31","5.36","5.31","5.31"," 0.00","420",
"105/08/24","3,061,703","16,265,776","5.33","5.34","5.30","5.30","-0.01","497",
"105/08/25","4,507,209","24,293,483","5.32","5.44","5.32","5.40","+0.10","920",
"105/08/26","6,894,500","37,808,117","5.40","5.53","5.40","5.47","+0.07","1,169",
"105/08/29","8,305,913","46,305,958","5.49","5.62","5.49","5.59","+0.12","1,369",
"105/08/30","6,949,162","38,758,697","5.60","5.60","5.54","5.57","-0.02","851",
"105/08/31","6,602,041","36,456,460","5.54","5.57","5.49","5.51","-0.06","690",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

