"92年04月 2376 技嘉             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 92/04/01","1,750,250","82,881,983","47.00","47.60","46.80","47.40","+0.40","933",
" 92/04/02","2,836,896","134,275,591","47.40","47.80","46.80","47.00","-0.40","1,154",
" 92/04/03","3,096,796","148,604,615","48.00","48.50","47.60","47.70","+0.70","1,322",
" 92/04/04","5,949,641","290,553,716","47.60","49.90","47.30","49.40","+1.70","2,570",
" 92/04/07","11,975,279","606,278,939","49.90","51.50","49.60","51.00","+1.60","3,995",
" 92/04/08","7,609,077","388,509,185","51.00","51.50","50.00","51.50","+0.50","2,375",
" 92/04/09","10,231,019","530,062,008","51.50","52.50","50.50","52.50","+1.00","3,117",
" 92/04/10","4,966,158","258,368,238","52.50","53.00","51.00","51.50","-1.00","1,601",
" 92/04/11","2,813,084","144,856,602","52.00","52.00","51.00","51.50"," 0.00","915",
" 92/04/14","3,300,289","169,869,912","52.00","52.50","51.00","51.50"," 0.00","1,166",
" 92/04/15","5,642,257","296,258,078","52.50","53.00","52.00","53.00","+1.50","1,627",
" 92/04/16","11,299,340","613,952,221","53.50","55.50","53.00","55.00","+2.00","4,003",
" 92/04/17","4,296,751","232,827,656","55.00","55.00","53.50","54.00","-1.00","1,945",
" 92/04/18","12,688,693","716,708,389","55.50","57.00","55.00","56.50","+2.50","3,904",
" 92/04/21","7,995,000","448,948,153","56.50","57.00","55.50","56.00","-0.50","2,203",
" 92/04/22","4,645,002","252,311,584","56.00","56.00","53.50","53.50","-2.50","1,789",
" 92/04/23","7,468,443","409,492,088","55.00","56.00","54.00","54.50","+1.00","2,461",
" 92/04/24","4,972,449","261,235,128","54.50","54.50","51.50","52.00","-2.50","2,088",
" 92/04/25","7,260,882","365,979,826","51.50","51.50","50.00","50.50","-1.50","2,444",
" 92/04/28","3,556,112","171,501,860","49.00","49.20","47.10","48.50","-2.00","1,625",
" 92/04/29","5,001,408","248,635,323","49.50","50.50","49.10","50.00","+1.50","2,019",
" 92/04/30","9,700,885","493,091,566","50.50","52.00","49.60","52.00","+2.00","3,238",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

