"8910る 2377 稬琍             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 89/10/02","3,254,000","319,502,000","97.50","103.00","97.50","97.50","-7.00","1,447",
" 89/10/03","5,524,963","509,338,932","91.50","95.00","91.00","91.00","-6.50","2,600",
" 89/10/04","72,573","6,398,028","88.00","88.00","88.00","88.00","-3.00","78",
" 89/10/05","5,623,736","478,876,941","85.00","86.50","85.00","86.00","-2.00","2,054",
" 89/10/06","7,238,864","652,155,888","86.00","92.00","86.00","92.00","+6.00","2,344",
" 89/10/07","1,803,757","161,596,066","91.00","91.00","89.00","89.00","-3.00","847",
" 89/10/09","357,000","30,702,000","86.00","86.00","86.00","86.00","-3.00","185",
" 89/10/11","77,324","6,423,853","83.00","83.00","83.00","83.00","-3.00","64",
" 89/10/12","272,343","21,108,321","77.50","77.50","77.50","77.50","-5.50","158",
" 89/10/13","6,363,462","468,220,232","72.50","77.50","72.50","76.00","-1.50","2,370",
" 89/10/16","5,597,925","427,597,798","78.50","79.00","71.00","71.00","-5.00","2,318",
" 89/10/17","7,981,512","537,798,941","66.50","70.50","66.50","67.00","-4.00","2,895",
" 89/10/18","2,171,672","137,536,515","65.50","65.50","62.50","62.50","-4.50","814",
" 89/10/19","288,283","16,872,946","58.50","58.50","58.50","58.50","-4.00","170",
" 89/10/20","9,083,671","551,324,250","58.50","62.50","57.00","62.00","+3.50","3,420",
" 89/10/21","2,906,774","174,757,011","60.00","61.00","60.00","60.00","-2.00","1,060",
" 89/10/23","5,346,000","312,792,000","58.00","60.00","58.00","58.50","-1.50","2,020",
" 89/10/24","2,294,440","141,909,998","60.00","62.50","60.00","62.50","+4.00","884",
" 89/10/25","1,468,200","97,617,152","66.50","66.50","66.50","66.50","+4.00","572",
" 89/10/26","23,134,022","1,577,934,272","69.50","70.50","65.50","66.50"," 0.00","7,595",
" 89/10/27","8,963,955","596,999,451","67.50","68.00","65.00","65.50","-1.00","3,464",
" 89/10/30","77,219","4,913,777","63.50","63.50","63.50","63.50","-2.00","80",
" 89/10/31","5,825,769","362,701,081","61.50","64.50","61.50","61.50","-2.00","2,094",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

