"107年02月 2377 微星             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/02/01","13,153,705","1,276,240,442","97.90","99.70","94.70","94.70","-1.60","8,044",
"107/02/02","6,940,054","660,953,197","94.30","96.60","94.20","94.60","-0.10","4,685",
"107/02/05","14,135,744","1,260,758,660","90.00","91.20","86.60","89.90","-4.70","8,008",
"107/02/06","17,786,287","1,486,084,564","83.70","85.40","81.80","83.90","-6.00","10,075",
"107/02/07","16,857,538","1,483,676,371","87.90","90.90","86.50","87.40","+3.50","8,355",
"107/02/08","8,395,568","739,472,984","89.00","89.50","85.80","88.10","+0.70","4,762",
"107/02/09","17,767,563","1,538,393,896","85.10","89.50","84.20","85.40","-2.70","10,057",
"107/02/12","8,009,729","690,635,094","86.50","87.70","85.20","85.40"," 0.00","4,540",
"107/02/21","14,763,620","1,319,831,390","87.70","91.00","87.30","89.20","+3.80","8,921",
"107/02/22","13,630,584","1,173,225,936","88.00","88.00","85.00","85.00","-4.20","8,062",
"107/02/23","7,987,605","690,866,204","87.50","87.60","85.70","86.00","+1.00","4,966",
"107/02/26","8,714,523","768,695,056","86.80","89.70","86.80","87.50","+1.50","5,183",
"107/02/27","8,302,725","720,891,957","89.00","89.30","85.50","85.50","-2.00","4,969",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

