"9202る 2379 风琑             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/02/06","6,561,000","512,983,000","82.00","82.00","77.00","77.00","-5.50","2,749",
" 92/02/07","10,323,945","806,721,258","75.00","80.00","75.00","79.50","+2.50","3,932",
" 92/02/10","10,323,035","835,518,363","79.50","82.50","78.50","82.00","+2.50","3,333",
" 92/02/11","4,973,758","408,616,369","83.00","83.50","81.00","82.00"," 0.00","1,984",
" 92/02/12","6,147,310","488,726,733","81.00","82.00","78.00","78.50","-3.50","2,149",
" 92/02/13","3,844,174","302,864,880","78.00","80.00","77.50","79.00","+0.50","1,822",
" 92/02/14","3,886,534","309,926,865","80.00","80.50","79.00","79.50","+0.50","1,639",
" 92/02/17","5,839,100","477,604,204","82.50","82.50","81.00","82.00","+2.50","1,936",
" 92/02/18","2,805,133","227,504,114","82.00","82.00","80.50","80.50","-1.50","1,261",
" 92/02/19","5,982,409","490,154,018","82.00","83.00","81.00","81.00","+0.50","2,543",
" 92/02/20","4,612,829","379,476,429","81.50","83.00","81.00","82.50","+1.50","1,937",
" 92/02/21","3,634,180","299,455,669","83.00","83.00","81.50","82.00","-0.50","1,190",
" 92/02/24","1,529,436","124,846,839","82.50","82.50","81.00","81.50","-0.50","742",
" 92/02/25","5,536,972","434,308,172","80.50","80.50","77.50","77.50","-4.00","1,878",
" 92/02/26","5,647,750","436,744,050","77.50","79.00","76.00","76.00","-1.50","1,909",
" 92/02/27","2,610,836","199,005,452","75.00","77.00","75.00","77.00","+1.00","1,226",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

