"9209る 2382 約笷             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 92/09/01","5,729,548","478,328,387","84.50","84.50","83.00","83.50","-1.00","1,881",
" 92/09/02","4,022,194","333,342,895","83.00","83.50","82.50","83.00","-0.50","1,748",
" 92/09/03","8,632,457","720,156,709","83.00","84.50","82.50","82.50","-0.50","3,229",
" 92/09/04","4,719,761","387,384,746","82.50","82.50","81.50","81.50","-1.00","1,844",
" 92/09/05","6,982,998","574,156,129","81.50","83.50","81.50","82.00","+0.50","2,287",
" 92/09/08","7,321,607","606,474,696","82.00","84.00","81.50","82.50","+0.50","2,256",
" 92/09/09","15,688,343","1,315,653,277","82.50","85.00","82.50","84.00","+1.50","4,028",
" 92/09/10","7,707,423","639,769,360","83.50","83.50","82.00","82.50","-1.50","3,225",
" 92/09/12","25,486,086","2,177,236,837","82.50","87.00","82.00","86.50","+4.00","7,634",
" 92/09/15","13,823,455","1,197,550,350","86.50","87.50","85.50","87.00","+0.50","4,481",
" 92/09/16","23,401,571","2,062,864,129","87.00","89.50","86.50","88.50","+1.50","6,424",
" 92/09/17","17,746,429","1,567,819,090","88.50","89.50","87.50","88.00","-0.50","3,883",
" 92/09/18","6,083,336","530,163,223","88.00","88.00","86.50","87.50","-0.50","2,673",
" 92/09/19","12,101,096","1,062,394,089","87.50","88.50","87.00","87.50"," 0.00","3,032",
" 92/09/22","11,294,944","967,662,534","87.00","87.00","84.50","85.50","-2.00","2,948",
" 92/09/23","8,067,348","679,943,741","84.50","85.00","83.50","84.50","-1.00","2,192",
" 92/09/24","14,264,232","1,205,635,533","84.50","86.00","83.50","86.00","+1.50","3,296",
" 92/09/25","10,164,185","846,352,034","82.50","84.00","82.50","84.00","-2.00","3,383",
" 92/09/26","10,695,901","883,798,872","82.50","84.00","82.00","83.00","-1.00","3,508",
" 92/09/29","10,079,890","831,437,057","82.00","83.50","82.00","82.00","-1.00","2,152",
" 92/09/30","3,873,733","320,679,370","83.00","83.50","82.00","82.50","+0.50","1,536",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

