"108年02月 2382 廣達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/02/11","9,876,938","558,432,186","56.90","56.90","55.90","56.50","+0.60","4,400",
"108/02/12","8,350,725","472,416,587","56.50","56.80","56.30","56.80","+0.30","3,471",
"108/02/13","7,590,224","426,782,895","56.90","57.00","55.60","56.20","-0.60","3,697",
"108/02/14","7,519,150","425,653,350","55.80","57.00","55.80","57.00","+0.80","4,181",
"108/02/15","5,174,894","292,378,493","57.00","57.00","56.20","56.60","-0.40","2,921",
"108/02/18","4,807,014","270,517,273","56.60","56.80","56.00","56.00","-0.60","2,721",
"108/02/19","2,335,649","131,216,297","56.10","56.50","56.00","56.10","+0.10","1,307",
"108/02/20","10,987,513","625,649,041","56.10","57.40","56.10","57.10","+1.00","5,039",
"108/02/21","7,281,085","410,387,495","57.00","57.10","56.10","56.20","-0.90","3,945",
"108/02/22","5,691,761","317,666,361","56.10","56.30","55.60","56.00","-0.20","2,889",
"108/02/25","7,519,682","427,945,755","56.50","57.30","56.30","57.30","+1.30","3,679",
"108/02/26","6,984,610","399,075,270","57.50","57.60","56.90","56.90","-0.40","4,001",
"108/02/27","6,530,339","372,589,975","57.10","57.20","56.70","57.20","+0.30","2,690",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

