"10208る 2383 筿           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/08/01","536,300","14,621,556","27.15","27.40","27.10","27.35","+0.25","323",
"102/08/02","682,486","18,670,686","27.60","27.65","27.15","27.30","-0.05","373",
"102/08/05","548,122","14,963,320","27.30","27.60","27.20","27.30"," 0.00","234",
"102/08/06","536,337","14,630,027","27.30","27.45","27.20","27.25","-0.05","258",
"102/08/07","524,924","14,273,796","27.25","27.40","27.10","27.10","-0.15","258",
"102/08/08","500,050","13,570,050","27.15","27.30","27.05","27.10"," 0.00","270",
"102/08/09","694,784","18,818,650","27.30","27.30","27.00","27.05","-0.05","318",
"102/08/12","1,312,846","35,304,715","27.05","27.05","26.80","26.85","-0.20","456",
"102/08/13","960,410","25,860,947","26.90","27.05","26.85","26.85"," 0.00","450",
"102/08/14","828,453","22,237,659","26.90","27.05","26.70","26.90","+0.05","335",
"102/08/15","823,256","22,098,089","26.90","27.00","26.75","26.75","-0.15","388",
"102/08/16","752,816","20,191,582","26.60","26.95","26.55","26.85","+0.10","350",
"102/08/19","714,034","19,237,118","26.85","27.05","26.75","26.95","+0.10","313",
"102/08/20","1,007,990","27,089,525","26.95","27.05","26.75","26.80","-0.15","524",
"102/08/22","880,614","23,479,438","26.50","26.80","26.50","26.70","-0.10","448",
"102/08/23","815,509","21,912,657","26.80","26.95","26.70","26.85","+0.15","356",
"102/08/26","980,746","26,426,712","27.00","27.05","26.85","26.95","+0.10","351",
"102/08/27","3,812,209","102,402,712","27.00","27.00","26.60","26.65","-0.30","899",
"102/08/28","2,901,289","76,910,406","26.60","26.70","26.40","26.50","-0.15","1,029",
"102/08/29","1,747,256","43,531,357","24.90","25.10","24.80","24.80","X0.00","686",
"102/08/30","1,281,377","31,718,218","24.85","24.90","24.60","24.60","-0.20","565",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

