"107年05月 2383 台光電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/05/02","2,028,943","148,012,226","73.20","73.90","72.30","73.00"," 0.00","1,526",
"107/05/03","3,709,278","273,789,570","73.80","75.40","72.60","73.30","+0.30","2,543",
"107/05/04","3,445,562","245,997,825","72.90","72.90","70.50","70.50","-2.80","2,290",
"107/05/07","5,602,143","389,273,279","70.20","71.00","68.20","69.50","-1.00","3,452",
"107/05/08","4,722,720","333,438,789","70.00","71.40","69.80","71.10","+1.60","2,970",
"107/05/09","4,292,014","308,630,208","72.20","72.60","71.30","72.20","+1.10","2,507",
"107/05/10","6,624,021","512,591,062","75.00","79.40","74.50","79.40","+7.20","3,487",
"107/05/11","14,554,885","1,200,416,168","81.50","84.80","79.90","83.60","+4.20","8,443",
"107/05/14","5,337,521","447,218,912","84.40","85.40","82.40","83.60"," 0.00","3,858",
"107/05/15","2,849,874","240,451,900","83.80","85.80","83.40","83.50","-0.10","1,901",
"107/05/16","2,261,429","189,706,120","83.50","85.00","82.70","83.50"," 0.00","1,697",
"107/05/17","1,795,275","151,233,937","83.80","85.30","83.40","84.70","+1.20","1,356",
"107/05/18","3,112,552","265,398,769","85.70","86.20","84.50","85.10","+0.40","1,883",
"107/05/21","1,779,358","150,647,448","85.60","85.80","84.10","84.10","-1.00","945",
"107/05/22","2,813,027","241,203,101","83.90","86.90","83.90","85.80","+1.70","1,836",
"107/05/23","1,795,056","151,547,992","85.90","86.10","83.20","83.90","-1.90","1,331",
"107/05/24","1,601,660","132,908,140","83.90","84.80","82.20","82.50","-1.40","1,180",
"107/05/25","1,418,743","117,205,469","82.20","83.80","80.80","83.40","+0.90","1,121",
"107/05/28","2,020,702","171,139,434","83.50","86.30","82.60","85.10","+1.70","1,366",
"107/05/29","1,381,103","116,125,367","85.20","85.50","82.80","82.80","-2.30","1,034",
"107/05/30","1,666,345","134,888,744","82.00","82.40","80.30","80.70","-2.10","1,227",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

