"97年04月 2388 威盛             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
" 97/04/01","6,858,032","119,289,940","17.30","17.65","17.10","17.40","+0.30","2,171",
" 97/04/02","7,035,812","130,627,330","18.40","18.60","18.40","18.60","+1.20","1,686",
" 97/04/03","17,018,544","321,756,671","18.90","19.25","18.40","18.60"," 0.00","4,617",
" 97/04/07","8,233,856","151,783,339","18.80","18.85","18.10","18.80","+0.20","2,610",
" 97/04/08","5,492,028","99,875,922","18.30","18.50","18.00","18.00","-0.80","1,960",
" 97/04/09","4,930,741","90,453,352","18.60","18.60","18.10","18.15","+0.15","1,721",
" 97/04/10","3,700,146","67,676,858","18.10","18.45","18.10","18.40","+0.25","1,288",
" 97/04/11","7,213,987","131,728,616","18.50","18.60","18.10","18.10","-0.30","2,259",
" 97/04/14","5,664,825","103,417,066","18.20","18.40","18.10","18.35","+0.25","1,679",
" 97/04/15","18,269,973","344,540,278","18.50","19.30","18.20","18.85","+0.50","5,028",
" 97/04/16","8,226,748","154,696,436","19.05","19.20","18.50","18.70","-0.15","2,279",
" 97/04/17","14,080,285","268,729,971","19.15","19.35","18.80","18.80","+0.10","3,745",
" 97/04/18","8,522,809","162,149,601","19.00","19.30","18.85","18.85","+0.05","2,154",
" 97/04/21","24,951,726","494,407,780","19.35","20.15","19.10","20.15","+1.30","5,236",
" 97/04/22","19,361,328","383,070,144","20.15","20.15","19.40","19.40","-0.75","4,397",
" 97/04/23","21,897,587","436,448,690","19.70","20.45","19.30","20.00","+0.60","5,659",
" 97/04/24","10,867,784","216,863,785","20.30","20.45","19.50","19.55","-0.45","2,835",
" 97/04/25","9,117,049","179,403,835","20.00","20.00","19.30","19.30","-0.25","2,313",
" 97/04/28","6,821,252","131,827,085","19.40","19.65","19.10","19.15","-0.15","1,934",
" 97/04/29","14,704,436","292,997,549","19.40","20.40","19.40","19.50","+0.35","4,284",
" 97/04/30","11,393,038","221,648,572","19.90","19.90","19.10","19.10","-0.40","2,840",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

