"9410る 2392 タ碤             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 94/10/03","11,628,375","1,168,891,250","98.80","102.50","98.00","101.00","+2.50","5,214",
" 94/10/04","7,118,328","725,654,112","102.00","103.00","101.00","101.00"," 0.00","3,212",
" 94/10/05","7,679,893","786,426,679","101.00","104.00","100.50","101.00"," 0.00","3,605",
" 94/10/06","3,548,731","354,481,988","100.00","101.00","99.10","100.00","-1.00","1,823",
" 94/10/07","4,474,783","451,369,701","101.00","102.00","99.80","101.00","+1.00","2,143",
" 94/10/11","3,507,080","354,905,278","102.50","103.00","99.90","101.00"," 0.00","1,582",
" 94/10/12","6,541,037","637,916,913","99.10","99.80","95.50","96.10","-4.90","2,881",
" 94/10/13","5,053,906","480,618,179","94.50","97.10","93.50","95.30","-0.80","2,412",
" 94/10/14","5,517,352","535,493,222","96.50","98.50","95.80","96.00","+0.70","2,975",
" 94/10/17","5,698,865","531,450,074","97.00","97.30","90.30","92.00","-4.00","2,535",
" 94/10/18","3,476,938","320,842,468","93.50","93.50","90.90","92.00"," 0.00","1,725",
" 94/10/19","2,919,747","263,147,346","91.00","91.00","89.00","90.10","-1.90","1,386",
" 94/10/20","5,541,845","515,749,777","91.30","94.10","91.10","93.80","+3.70","2,661",
" 94/10/21","5,835,467","556,681,997","93.00","96.30","92.80","95.10","+1.30","2,755",
" 94/10/24","1,923,684","182,155,408","96.00","96.00","93.80","93.80","-1.30","1,088",
" 94/10/25","2,547,831","241,194,929","96.20","96.20","93.50","93.50","-0.30","1,443",
" 94/10/26","6,673,986","614,230,411","95.00","95.00","90.00","90.30","-3.20","2,880",
" 94/10/27","3,970,869","360,983,217","89.10","92.30","88.80","91.50","+1.20","2,110",
" 94/10/28","3,162,764","292,944,747","91.50","93.50","91.20","93.00","+1.50","1,761",
" 94/10/31","4,564,740","432,341,643","93.50","95.80","93.20","95.00","+2.00","2,307",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

