"106年01月 2392 正崴             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/01/03","275,267","10,127,742","36.80","36.85","36.70","36.85","+0.25","245",
"106/01/04","337,035","12,448,833","37.00","37.00","36.75","36.95","+0.10","289",
"106/01/05","630,486","23,406,253","37.10","37.20","36.90","37.10","+0.15","459",
"106/01/06","449,586","16,618,867","37.10","37.35","36.80","36.90","-0.20","341",
"106/01/09","408,811","15,093,859","36.90","37.10","36.85","36.85","-0.05","313",
"106/01/10","160,492","5,923,852","36.85","37.00","36.80","37.00","+0.15","140",
"106/01/11","254,600","9,413,865","37.00","37.25","36.85","37.00"," 0.00","193",
"106/01/12","623,106","23,244,522","37.00","37.45","37.00","37.30","+0.30","428",
"106/01/13","157,249","5,835,963","37.30","37.30","37.00","37.20","-0.10","131",
"106/01/16","360,382","13,198,043","37.20","37.35","36.35","36.80","-0.40","299",
"106/01/17","419,745","15,337,709","36.80","36.80","36.40","36.60","-0.20","300",
"106/01/18","490,864","17,918,831","36.50","36.80","36.35","36.50","-0.10","394",
"106/01/19","352,752","12,838,716","36.30","36.70","36.20","36.30","-0.20","292",
"106/01/20","391,773","14,200,159","36.30","36.65","36.10","36.20","-0.10","316",
"106/01/23","477,027","17,252,215","36.40","36.40","36.10","36.15","-0.05","327",
"106/01/24","557,903","20,348,057","36.15","36.60","36.15","36.60","+0.45","421",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

