"9405る 2393 货             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 94/05/03","5,589,691","224,048,757","39.80","40.40","39.75","40.40","+0.60","1,781",
" 94/05/04","3,591,208","143,909,774","40.45","40.45","39.50","39.80","-0.60","980",
" 94/05/05","10,852,785","453,783,233","40.00","42.55","40.00","42.55","+2.75","3,119",
" 94/05/06","16,045,847","704,301,345","42.60","44.80","42.60","44.40","+1.85","5,524",
" 94/05/09","11,535,966","513,117,821","44.40","44.95","43.85","44.40"," 0.00","3,496",
" 94/05/10","4,636,043","202,159,561","44.30","44.40","43.10","43.10","-1.30","1,493",
" 94/05/11","6,038,526","257,010,920","42.80","43.00","42.20","42.30","-0.80","1,375",
" 94/05/12","13,910,824","591,898,177","42.50","43.80","41.40","42.05","-0.25","3,905",
" 94/05/13","6,595,181","275,241,855","42.20","42.20","41.00","41.90","-0.15","1,914",
" 94/05/16","10,311,412","434,282,643","42.00","42.70","41.80","42.00","+0.10","2,522",
" 94/05/17","5,411,020","227,998,400","42.50","42.70","41.50","41.60","-0.40","1,429",
" 94/05/18","3,356,417","140,329,624","41.90","42.20","41.55","41.55","-0.05","1,281",
" 94/05/19","10,555,418","449,101,969","42.30","43.20","41.80","42.10","+0.55","3,317",
" 94/05/20","3,235,437","135,988,128","42.25","42.40","41.80","41.85","-0.25","1,150",
" 94/05/23","3,038,184","126,928,898","41.85","42.20","41.20","41.65","-0.20","979",
" 94/05/24","3,261,550","136,402,467","41.85","42.30","41.50","41.60","-0.05","1,176",
" 94/05/25","11,286,005","447,943,810","41.60","41.60","38.80","39.30","-2.30","3,441",
" 94/05/26","6,464,526","252,121,512","39.30","39.85","38.00","39.80","+0.50","2,147",
" 94/05/27","9,916,950","399,980,816","39.80","40.70","39.80","40.25","+0.45","2,760",
" 94/05/30","3,185,105","127,536,046","40.30","40.60","39.85","40.00","-0.25","1,023",
" 94/05/31","6,069,605","243,393,076","39.90","40.50","39.30","40.00"," 0.00","1,589",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

