"105年09月 2393 億光             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/09/01","3,504,568","180,698,978","51.10","52.00","51.10","51.20","+0.50","2,110",
"105/09/02","2,057,609","104,284,564","51.60","51.80","49.50","50.60","-0.60","1,405",
"105/09/05","1,147,872","58,151,035","50.90","51.10","50.40","50.80","+0.20","742",
"105/09/06","4,195,366","207,019,651","50.30","50.50","48.85","49.25","-1.55","2,942",
"105/09/07","1,465,841","72,850,348","49.50","50.00","49.45","49.60","+0.35","1,137",
"105/09/08","2,863,918","144,213,106","49.95","50.70","49.80","50.60","+1.00","1,503",
"105/09/09","4,746,819","246,087,354","52.00","52.20","51.50","51.60","+1.00","2,663",
"105/09/10","1,636,944","83,058,758","51.00","51.30","50.50","50.70","-0.90","888",
"105/09/12","3,545,355","184,339,777","52.00","52.40","51.50","51.50","+0.80","1,916",
"105/09/13","2,909,141","151,151,161","52.30","52.40","51.60","51.60","+0.10","1,800",
"105/09/14","1,798,800","92,842,100","51.30","51.90","51.20","51.80","+0.20","951",
"105/09/19","1,923,404","99,736,608","52.00","52.20","51.50","52.00","+0.20","1,196",
"105/09/20","1,613,454","82,806,038","52.00","52.00","51.10","51.20","-0.80","1,132",
"105/09/21","938,387","48,215,486","51.70","51.70","51.00","51.40","+0.20","731",
"105/09/22","1,289,389","65,914,176","51.80","51.80","50.70","51.10","-0.30","787",
"105/09/23","1,803,055","92,642,712","51.50","51.90","50.80","51.40","+0.30","1,087",
"105/09/26","1,307,009","66,182,654","51.10","51.10","50.40","50.50","-0.90","902",
"105/09/29","3,038,653","152,262,800","50.60","50.70","49.90","50.00","-0.50","1,756",
"105/09/30","2,143,964","107,645,991","49.80","50.80","49.80","50.20","+0.20","1,534",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

