"9107る 2395 地             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 91/07/01","1,082,600","78,759,378","73.50","74.50","71.50","72.50","-1.00","339",
" 91/07/02","799,617","56,823,004","71.00","73.00","70.00","73.00","+0.50","266",
" 91/07/03","532,123","38,250,558","71.00","74.00","68.50","74.00","+1.00","329",
" 91/07/04","546,001","40,269,073","74.00","74.50","72.00","74.50","+0.50","291",
" 91/07/05","1,059,200","81,039,444","74.00","79.50","73.50","79.50","+5.00","574",
" 91/07/08","1,420,000","114,142,000","81.00","82.00","79.50","80.50","+1.00","672",
" 91/07/09","1,192,069","95,482,024","79.00","83.00","78.00","83.00","+2.50","519",
" 91/07/10","1,254,000","101,961,000","83.00","83.00","80.00","80.50","-2.50","492",
" 91/07/11","1,861,000","148,158,500","79.00","80.50","78.50","80.00","-0.50","778",
" 91/07/12","3,335,000","226,230,000","67.50","68.50","66.50","68.50","X0.00","1,353",
" 91/07/15","1,717,902","118,430,471","69.00","70.00","68.00","69.00","+0.50","902",
" 91/07/16","1,973,400","137,347,460","69.00","70.50","68.50","68.50","-0.50","834",
" 91/07/17","1,019,810","67,958,350","68.00","68.50","66.00","66.00","-2.50","552",
" 91/07/18","763,300","51,054,200","66.00","67.50","66.00","67.00","+1.00","435",
" 91/07/19","752,700","49,427,162","66.00","66.50","65.00","66.00","-1.00","411",
" 91/07/22","758,465","48,207,535","64.00","64.50","62.50","62.50","-3.50","363",
" 91/07/23","1,188,200","76,063,935","62.50","65.50","62.50","65.50","+3.00","531",
" 91/07/24","1,854,890","119,978,501","64.00","66.50","63.50","64.00","-1.50","613",
" 91/07/25","918,500","60,161,340","66.00","66.50","64.50","65.00","+1.00","496",
" 91/07/26","919,000","56,734,000","62.50","63.50","60.50","62.00","-3.00","510",
" 91/07/29","507,300","31,879,505","62.00","63.50","61.00","62.50","+0.50","302",
" 91/07/30","1,052,835","68,189,420","64.00","65.50","64.00","65.00","+2.50","495",
" 91/07/31","513,430","33,279,977","65.50","65.50","64.50","64.50","-0.50","259",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

