"10012る 2408 玭ㄈ           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"100/12/01","16,031,863","36,060,233","2.41","2.41","2.20","2.20","-0.16","667",
"100/12/02","21,761,787","49,349,761","2.20","2.35","2.09","2.12","-0.08","790",
"100/12/05","4,310,250","9,687,048","2.26","2.26","2.14","2.24","+0.12","434",
"100/12/06","2,059,864","4,451,572","2.09","2.21","2.09","2.19","-0.05","228",
"100/12/07","5,615,218","12,773,674","2.26","2.33","2.22","2.22","+0.03","457",
"100/12/08","4,862,646","10,640,934","2.23","2.25","2.17","2.17","-0.05","601",
"100/12/09","6,905,663","14,126,175","2.09","2.10","2.02","2.02","-0.15","320",
"100/12/12","2,599,242","5,353,326","2.09","2.16","2.00","2.03","+0.01","267",
"100/12/13","2,606,727","5,128,193","1.96","2.00","1.95","1.97","-0.06","247",
"100/12/14","6,233,534","12,307,104","1.88","2.00","1.88","1.97"," 0.00","333",
"100/12/15","5,574,380","10,532,670","1.90","1.90","1.87","1.87","-0.10","401",
"100/12/16","4,568,952","8,480,990","1.87","1.88","1.80","1.80","-0.07","370",
"100/12/19","2,658,200","5,075,574","1.84","1.92","1.84","1.92","+0.12","217",
"100/12/20","1,792,981","3,614,861","1.99","2.05","1.99","2.05","+0.13","147",
"100/12/21","1,832,098","4,012,281","2.19","2.19","2.19","2.19","+0.14","203",
"100/12/22","2,058,347","4,554,939","2.28","2.28","2.14","2.18","-0.01","161",
"100/12/23","4,298,459","9,894,655","2.33","2.33","2.14","2.31","+0.13","226",
"100/12/26","1,386,745","3,143,650","2.29","2.31","2.22","2.23","-0.08","130",
"100/12/27","1,342,012","2,997,635","2.23","2.24","2.23","2.24","+0.01","104",
"100/12/28","2,119,353","4,930,209","2.24","2.37","2.24","2.32","+0.08","175",
"100/12/29","1,456,964","3,312,193","2.21","2.28","2.21","2.27","-0.05","108",
"100/12/30","2,617,564","5,977,337","2.32","2.32","2.26","2.27"," 0.00","201",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

