"105年11月 2408 南亞科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/11/01","4,542,359","185,317,901","40.90","40.95","40.65","40.70","-0.25","2,332",
"105/11/02","7,536,039","301,741,034","40.40","40.50","39.75","39.80","-0.90","3,705",
"105/11/03","8,135,803","326,006,812","40.05","40.30","39.95","40.00","+0.20","3,511",
"105/11/04","4,763,705","190,763,712","40.00","40.20","39.85","39.95","-0.05","2,356",
"105/11/07","3,333,543","133,557,920","40.15","40.25","39.95","40.00","+0.05","1,284",
"105/11/08","6,586,867","265,483,790","40.30","40.50","40.10","40.15","+0.15","2,573",
"105/11/09","11,344,624","443,465,355","40.30","40.40","38.40","38.40","-1.75","4,217",
"105/11/10","11,949,444","477,469,910","40.00","40.40","39.35","40.20","+1.80","4,111",
"105/11/11","6,478,582","255,477,481","39.60","39.75","39.25","39.25","-0.95","3,210",
"105/11/14","5,021,157","197,364,696","39.40","39.80","39.05","39.20","-0.05","1,956",
"105/11/15","4,609,176","179,313,566","39.20","39.25","38.70","38.75","-0.45","2,208",
"105/11/16","4,425,425","172,774,765","39.15","39.40","38.85","38.90","+0.15","1,547",
"105/11/17","2,978,136","116,335,524","39.30","39.30","38.90","39.00","+0.10","1,406",
"105/11/18","9,016,132","360,904,434","40.10","40.25","39.85","39.85","+0.85","3,259",
"105/11/21","6,699,877","268,732,080","40.00","40.25","39.85","40.10","+0.25","2,016",
"105/11/22","17,026,425","695,792,350","40.25","41.30","40.20","40.45","+0.35","5,046",
"105/11/23","23,203,019","958,947,241","40.70","41.70","40.70","41.55","+1.10","6,727",
"105/11/24","49,062,084","2,176,183,733","41.75","45.45","41.75","45.00","+3.45","18,309",
"105/11/25","29,372,928","1,288,141,954","45.00","45.15","43.00","43.35","-1.65","12,116",
"105/11/28","34,131,533","1,535,014,401","43.90","46.40","43.90","44.50","+1.15","12,567",
"105/11/29","9,164,914","407,646,804","44.30","44.75","44.00","44.50"," 0.00","3,716",
"105/11/30","11,434,754","509,908,806","44.60","45.25","44.35","44.50"," 0.00","3,583",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

